SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Gilbertina  Soresina,50,30,25,5,2300,2036,264,13,12,2,3
New Basket  Prevalle,48,30,24,6,2267,1951,316,13,11,2,4
Sesa BK  Sustinente,38,30,19,11,2190,2089,101,10,9,5,6
Asola Lions  Del Chiese,34,30,17,13,2258,2180,78,9,8,6,7
Olimpia  Lumezzane,34,30,17,13,2143,2069,74,9,8,6,7
Lic  Verolanuova,34,30,17,13,2204,2152,52,7,10,8,5
Pall.  Quistello,32,30,16,14,1999,1917,82,9,7,6,8
Basket  Sarezzo,32,30,16,14,2006,1969,37,9,7,6,8
Viadana  Basket,32,30,16,14,2180,2099,81,9,7,6,8
Persico  Seriana Basket,32,30,16,14,2077,2045,32,10,6,5,9
Bellini  Virtus Gorle,28,30,14,16,2197,2221,-24,7,7,8,8
Cral  Dalmine,28,30,14,16,2057,2142,-85,8,6,7,9
Bottanuco  Basket,24,30,12,18,1993,2104,-111,7,5,8,10
Basket Ome  01,20,30,10,20,2047,2156,-109,6,4,9,11
XXL  Bluorobica Bergamo,10,30,5,25,2254,2554,-300,4,1,11,14
Virtus  Brescia,4,30,2,28,1853,2341,-488,0,2,15,13
Lombardia  - C Silver Girone C
