SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Pol. Varedo,42,26,21,5,1795,1463,332,12,9,1,4
C.B.B.A ASD  Cologno,34,26,17,9,1767,1698,69,10,7,3,6
Basket  Seregno,32,26,16,10,1730,1664,66,10,6,3,7
Pall.  Master Carate,32,26,16,10,1892,1665,227,10,6,3,7
Cus Milano,32,26,16,10,1707,1564,143,8,8,5,5
Nuova  Argentia Pall. ASD,31,26,17,9,1789,1650,139,11,6,2,7
AS Dil.  Leoniana,28,26,14,12,1631,1690,-59,8,6,5,7
Quartiere  S. Ambrogio,24,26,12,14,1763,1818,-55,8,4,5,9
Show Camp  Basketschool,24,26,12,14,1631,1658,-27,6,6,7,7
Pol.  Bellusco Basket,22,26,11,15,1763,1813,-50,6,5,7,8
ASD Mojazza,20,26,10,16,1726,1815,-89,7,3,6,10
A Dil  Basket Biassono,20,26,10,16,1675,1785,-110,5,5,8,8
S. Pio X  Milano,14,26,7,19,1594,1754,-160,4,3,9,10
GS Dil.  Nino Ronco,6,26,3,23,1572,1998,-426,2,1,11,12
D  Lombardia - Girone B
