C Lombardia Silver Girone A classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
153,Maga Lorenzo,Posal Sesto S. Giovanni,G,1989,185,50,11,"4,55"
154,Maccani,USSA Nova Milanese, , , ,48,21,"2,29"
155,Ascenzo I.,Sesto Rondinella, , , ,47,10,"4,70"
156,Marino Italo,Bocconi Milano,A,1995,198,46,7,"6,57"
157,Ceriani,O.SA.L. Novate, , , ,45,27,"1,67"
158,Mariani Matteo,USSA Nova Milanese,P,1998,190,44,13,"3,38"
159,Vivian Marco,Team 86 Villasanta,G,1998,194,44,20,"2,20"
160,Pauciulo Pierluigi,Bocconi Milano,P/G,1995,178,43,5,"8,60"
161,Meneghel Fabrizio,Fortitudo Busnago,P,1989,180,43,7,"6,14"
162,Ferretti Federico,Bocconi Milano,G,1996,188,41,9,"4,56"
163,Stasi Lorenzo,Basketown Milano,P,1996,180,41,19,"2,16"
164,Riggi,Social Osa, , , ,40,10,"4,00"
165,Lucchini Andrea,Social Osa,P,2000,176,40,22,"1,82"
166,Mazzoli Mattia,Basketown Milano,G,1990,184,39,10,"3,90"
167,Zanlucchi Stefano,Gamma BK Segrate,A,1988, ,38,7,"5,43"
168,Ronconi Giacomo,ASD Morbegno,G,1997,183,38,8,"4,75"
169,Turano Natale,O.SA.L. Novate,P,1999,181,38,27,"1,41"
170,Pesenato,USSA Nova Milanese, , , ,37,10,"3,70"
171,Ghilardi Virgilio,Basketown Milano,P,1998,175,37,18,"2,06"
172,Fortunato Andrea,Bocconi Milano,A,1997,200,37,21,"1,76"
173,Magnaghi Leonardo,Gamma BK Segrate,A,1998, ,37,21,"1,76"
174,Ravasi Matteo,USSA Nova Milanese,G/A,1998,190,32,25,"1,28"
175,Monguzzi,AS Dil. Lesmo 2004, , , ,31,13,"2,38"
176,Airoldi Davide,Social Osa,G,1997,180,31,29,"1,07"
177,Petrosino Davide,Basketown Milano,G,1989,188,30,5,"6,00"
178,Mazzi William,Basketown Milano,C,2000,186,30,9,"3,33"
179,Loizate Soloeta,Social Osa,A,1997,182,30,17,"1,76"
180,Morano Lodovico,Basketown Milano,G/A,1989,188,29,11,"2,64"
181,Vacca Andrea,Bocconi Milano,A/C,1993,194,27,7,"3,86"
182,Maspero Francesco,ASD Morbegno,C,1999,193,26,20,"1,30"
183,Bacci Vitola,O.SA.L. Novate, , , ,22,4,"5,50"
184,Romanato Luca,AS Dil. Lesmo 2004,G,1996,187,22,12,"1,83"
185,Gatti Pietro,Sesto Rondinella,G,1999,185,22,17,"1,29"
186,Perego S.,AS Dil. Lesmo 2004, , , ,21,3,"7,00"
187,Pandolfi,USSA Nova Milanese, , , ,21,15,"1,40"
188,Cazzaniga Matteo,Carpe Diem Calolziocorte, ,2001, ,20,22,"0,91"
189,Desantis Nicolò,O.SA.L. Novate,C,1994,199,19,20,"0,95"
190,Viscusi Christian,AS Dil. Lesmo 2004,G,1998,182,18,5,"3,60"
191,Barazzetta Luca,Team 86 Villasanta,A,1999,194,18,14,"1,29"
192,Galardo,Social Osa, , , ,16,7,"2,29"
193,Tarabini Nicola,ASD Morbegno,A/C,1996,195,16,9,"1,78"
194,Paonessa Alessandro,Carpe Diem Calolziocorte,P,1996,165,16,30,"0,53"
195,Urso Andrea,DI.PO. Vimercate,G,1999,183,15,22,"0,68"
196,Maffezzoli Matteo,Social Osa,P,1991,178,13,3,"4,33"
197,Bombonati,Social Osa, , , ,12,9,"1,33"
198,Carpineti Giorgio,Gamma BK Segrate,A,2000, ,12,12,"1,00"
199,Braccio Andrea,Ebro Basket,A,1999,190,11,2,"5,50"
200,Melley Giovanni,Bocconi Milano,A, , ,10,7,"1,43"
201,Bocci Tommaso,Sesto Rondinella,P,1999,188,8,3,"2,67"
202,Gandini,Basketown Milano, , , ,8,6,"1,33"
203,Panella,AS Dil. Lesmo 2004, , , ,7,3,"2,33"
204,Lombardelli Leonardo,Bocconi Milano,G,1998,186,7,8,"0,88"
205,Minardi Luca,Basketown Milano,A,1995,195,6,3,"2,00"
206,Boffi Marco,AS Dil. Lesmo 2004,A,1998,188,6,14,"0,43"
207,Spinetto Carlo,Ebro Basket,G,1999,185,5,4,"1,25"
208,Paviglianiti,Gamma BK Segrate, , , ,5,8,"0,63"
209,Pedritis Samuele,Gamma BK Segrate,P,2000, ,5,10,"0,50"
210,Quintili Federico,Bocconi Milano,G,1998,188,5,13,"0,38"
211,Galli,AS Dil. Lesmo 2004, , , ,5,13,"0,38"
212,Bauyon Marvin,Social Osa,P,1998,180,5,17,"0,29"
213,Piana,Basketown Milano, , , ,4,1,"4,00"
214,Negretto,Posal Sesto S. Giovanni, , , ,4,2,"2,00"
215,Fajoui,Team 86 Villasanta, , , ,4,6,"0,67"
216,Perziano,ASD Morbegno, , , ,3,1,"3,00"
217,Balzano,Basketown Milano, , , ,3,1,"3,00"
218,Reverzani,Gamma BK Segrate, , , ,3,3,"1,00"
219,Mezzera Jacopo,ASD Morbegno,G,1999,180,3,4,"0,75"
220,Del Barba Alessandro,ASD Morbegno,P,2000,185,2,3,"0,67"
221,Vaghini,DI.PO. Vimercate, , , ,2,11,"0,18"
222,Scaglione Alessandro,Sesto Rondinella,A,1998,195,1,7,"0,14"
 , , , , , , , , 
C  Lombardia Silver  Girone A classifica marcatori in base alla  media giornate  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Anolli Giovanni,Bocconi Milano,A/C,1996,201,459,30,"15,30"
2,Favero,ASD Morbegno, , , ,354,24,"14,75"
3,Pietrobon Andrea,AS Dil. Lesmo 2004,A,1992,188,316,22,"14,36"
4,Botto Tommaso,Basketown Milano,G,1997,186,429,30,"14,30"
5,Beretta Matteo,USSA Nova Milanese,G,1999,190,296,21,"14,10"
6,Gurioli Gianluca,Gamma BK Segrate,A,1983,192,267,19,"14,05"
7,Meroni Leonardo,Carpe Diem Calolziocorte,G,1989,185,420,30,"14,00"
8,Malberti,Team 86 Villasanta, , , ,154,11,"14,00"
