SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
ASD Ardens  Basket Sedriano,46,26,23,3,1924,1593,331,11,12,2,1
A. Dil.  Nova Basket 2003,44,26,22,4,1953,1684,269,11,11,2,2
USD Basket  Sanmaurense,40,26,20,6,1706,1464,242,11,9,2,4
Nuova  Olimpia BK Voghera,32,26,16,10,1729,1667,62,11,5,2,8
Old Socks  S. Martino,30,26,15,11,1710,1628,82,7,8,6,5
Settimo  Basket ASD,28,26,14,12,1714,1691,23,9,5,4,8
ASD  Pallacanestro Tromello,28,26,14,12,1720,1707,13,8,6,5,7
Ass. Sport.  Dil. S. Giuseppe,26,26,13,13,1608,1615,-7,9,4,4,9
Vismara  Hoosiers,22,26,11,15,1592,1661,-69,7,4,6,9
OSL  Garbagnate,20,26,10,16,1810,1973,-163,7,3,6,10
AS Dil.  Pall. Stradella,18,26,9,17,1575,1701,-126,7,2,6,11
ASD Pol.  Garegnano,14,26,7,19,1680,1689,-9,4,3,9,10
ASD Here  you can,10,26,5,21,1674,1962,-288,3,2,10,11
U.S.G.  Abbiategrasso,6,26,3,23,1570,1930,-360,3,0,10,13
D  Lombardia - Girone D
