"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Pall.
  Moncalieri S. Mauro
","
44
","
30
","
22
","
8
","
2153
","
2029
","
124
","
14
","
8
","
1
","
7
"
"
Fulgor
  Omegna
","
38
","
30
","
19
","
11
","
2051
","
1940
","
111
","
12
","
7
","
3
","
8
"
"
Etrusca
  Basket S. Miniato
","
38
","
30
","
19
","
11
","
2151
","
1942
","
209
","
13
","
6
","
2
","
9
"
"
Fiorentina
  Basket Scandicci
","
36
","
30
","
18
","
12
","
2155
","
2110
","
45
","
12
","
6
","
3
","
9
"
"
Valsesia
  Basket Borgosesia
","
32
","
30
","
16
","
14
","
2181
","
2087
","
94
","
12
","
4
","
3
","
11
"
"
Bottegone
  S. Angelo
","
32
","
30
","
16
","
14
","
2213
","
2182
","
31
","
10
","
6
","
5
","
9
"
"
US Empolese
","
32
","
30
","
16
","
14
","
2040
","
1988
","
52
","
12
","
4
","
3
","
11
"
"
Montecatini
  Terme B
","
30
","
30
","
15
","
15
","
2099
","
2057
","
42
","
11
","
4
","
4
","
11
"
"
Basket
  Golfo Piombino
","
30
","
30
","
15
","
15
","
2146
","
2141
","
5
","
10
","
5
","
5
","
10
"
"
Basket
  Cecina
","
28
","
30
","
14
","
16
","
2114
","
2214
","
-100
","
10
","
4
","
5
","
11
"
"
Robur Fides
  Varese
","
26
","
30
","
13
","
17
","
2005
","
2103
","
-98
","
8
","
5
","
7
","
10
"
"
Virtus
  Siena
","
26
","
30
","
13
","
17
","
1964
","
2102
","
-138
","
11
","
2
","
4
","
13
"
"
Sangiorgese
  S. Giorgio L.
","
24
","
30
","
12
","
18
","
2140
","
2183
","
-43
","
8
","
4
","
7
","
11
"
"
Pino
  Dragons Firenze
","
22
","
30
","
11
","
19
","
2030
","
2133
","
-103
","
7
","
4
","
8
","
11
"
"
Oleggio
  Magic Basket
","
22
","
30
","
11
","
19
","
2073
","
2152
","
-79
","
9
","
2
","
6
","
13
"
"
Basket
  Rosmini Domodossola
","
20
","
30
","
10
","
20
","
1994
","
2146
","
-152
","
8
","
2
","
7
","
13
"
"
Serie B
  Girone A
"
