"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
ItalControlMeters
  Villasanta
","
46
","
26
","
23
","
3
","
1817
","
1439
","
378
","
12
","
11
","
1
","
2
"
"
Pallacanestro
  Cabiate
","
46
","
26
","
23
","
3
","
1819
","
1478
","
341
","
11
","
12
","
2
","
1
"
"
Sportiva BK
  Sondrio
","
40
","
26
","
20
","
6
","
1730
","
1517
","
213
","
11
","
9
","
2
","
4
"
"
ABC Lomazzo
","
38
","
26
","
19
","
7
","
1587
","
1396
","
191
","
10
","
9
","
3
","
4
"
"
Indipendente
  Appiano
","
32
","
26
","
16
","
10
","
1644
","
1536
","
108
","
10
","
6
","
3
","
7
"
"
Master
  Carate Brianza
","
30
","
26
","
15
","
11
","
1653
","
1583
","
70
","
7
","
8
","
6
","
5
"
"
Basket
  Tavernerio
","
26
","
26
","
13
","
13
","
1519
","
1476
","
43
","
8
","
5
","
5
","
8
"
"
Basket
  Biassono
","
24
","
26
","
12
","
14
","
1685
","
1715
","
-30
","
8
","
4
","
5
","
9
"
"
Pallacanestro
  Albavilla
","
22
","
26
","
11
","
15
","
1422
","
1498
","
-76
","
7
","
4
","
6
","
9
"
"
GS Villa Guardia
","
18
","
26
","
9
","
17
","
1627
","
1738
","
-111
","
7
","
2
","
6
","
11
"
"
S. Ambrogio
  Mariano
","
16
","
26
","
8
","
18
","
1399
","
1506
","
-107
","
5
","
3
","
8
","
10
"
"
Pallacanestro
  Como
","
16
","
26
","
8
","
18
","
1452
","
1647
","
-195
","
4
","
4
","
9
","
9
"
"
Gerardiana
  Monza
","
6
","
26
","
3
","
23
","
1369
","
1742
","
-373
","
3
","
0
","
10
","
13
"
"
Forti E Liberi Monza
","
4
","
26
","
2
","
24
","
1444
","
1896
","
-452
","
2
","
0
","
11
","
13
"
"
D
  Lombardia - Girone C
"
