Serie B Girone A classifica marcatori in base ai punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Bolzonella Federico,Robur Et Fides Varese,P,1984,185,543,30,"18,10"
2,Bonfiglio Simone,ASD Basket Golfo Piombino,P,1988,181,524,30,"17,47"
3,Poltroneri Davide,Fiorentina Basket Scandicci,A,1985,196,495,30,"16,50"
4,Benzoni Daniele,Sangiorgese S. Giorgio L.,A/C,1980,194,461,30,"15,37"
5,Gasparin Giovanni,Fulgor Omegna,G,1991,195,456,30,"15,20"
6,Stefanelli Francesco,Etrusca Basket San Miniato,P/G,1995,190,449,30,"14,97"
7,Toscano Daniele,Bottegone S. Angelo,A,1993,196,437,30,"14,57"
8,Tomasini Simone,Sangiorgese S. Giorgio L.,G,1993,196,418,30,"13,93"
9,Mazzantini Saverio,Basket Cecina ASD,A,1995,193,412,29,"14,21"
10,Circosta Valerio,Montecatini Terme Basketball,G,1987,187,405,30,"13,50"
11,Bianconi Corrado,Basket Rosmini Domodossola,A,1994,202,384,28,"13,71"
12,Bei Michele,US Empolese ASD,C,1990,202,382,28,"13,64"
13,Arrigoni Marco,Fulgor Omegna,A,1991,200,364,30,"12,13"
14,Galmarini Lorenzo,AS Pino Dragons Firenze,C,1995,201,362,29,"12,48"
15,Petrucci Marco,Montecatini Terme Basketball,A/G,1992,190,360,30,"12,00"
16,Sirakov Georgi,Fiorentina Basket Scandicci,G,1992,190,355,20,"17,75"
17,Hidalgo Shaquille,Mamy Oleggio Basket,G,1994,188,355,30,"11,83"
18,Merletto Daniele,Pall. Moncalieri S. Mauro,P,1993,176,348,30,"11,60"
19,Tommei Andrea,Sangiorgese S. Giorgio L.,P/G,1991,188,341,30,"11,37"
20,Dri Filiberto,Mamy Oleggio Basket,G,1989,190,335,21,"15,95"
21,Lenardon Simone,ASD Virtus Siena,P,1985,186,329,30,"10,97"
22,Bloise Giacomo,Fiorentina Basket Scandicci,P,1990,183,328,26,"12,62"
23,Gallazzi Edoardo,Mamy Oleggio Basket,A,1986,200,324,29,"11,17"
24,Giarelli Gabriele,Etrusca Basket San Miniato,A,1993,200,323,30,"10,77"
25,Gioria Leone,Pall. Moncalieri S. Mauro,G,1984,195,322,28,"11,50"
26,Nasello Ferdinando,ASD Virtus Siena,A/C,1995,194,321,30,"10,70"
27,Rosignoli Davide,Fiorentina Basket Scandicci,C,1998,203,316,30,"10,53"
28,Bertolini Roberto,Etrusca Basket San Miniato,C,1986,200,315,30,"10,50"
29,Gatti Nicolò,Valsesia Basket Borgosesia,A,1991,196,312,28,"11,14"
30,Meini Guido,Montecatini Terme Basketball,P,1979,185,309,29,"10,66"
31,Rugolo Giovanni,AS Pino Dragons Firenze,A/C,1981,193,304,21,"14,48"
32,Santambrogio Marco ,Robur Et Fides Varese,P,1988,188,303,28,"10,82"
33,Mariotti Daniele,US Empolese ASD,P,1984,186,303,29,"10,45"
34,Conti Francesco,Pall. Moncalieri S. Mauro,C,1983,208,299,30,"9,97"
35,Terenzi Diego,AS Pino Dragons Firenze,P/G,1995,190,293,29,"10,10"
36,Passoni Lorenzo,AS Pino Dragons Firenze,A,1997,194,293,30,"9,77"
37,Iardella Alessio,ASD Basket Golfo Piombino,G,1988,193,292,29,"10,07"
38,Mercante Jacopo,Valsesia Basket Borgosesia,A,1990,197,290,25,"11,60"
39,Rizzitello Nelson,Montecatini Terme Basketball,A,1984,196,289,20,"14,45"
40,Tuci Francesco,Basket Rosmini Domodossola,C,1992,205,287,29,"9,90"
41,Maspero Lorenzo,Bottegone S. Angelo,P,1998,181,287,29,"9,90"
42,Lasagni Simone,Basket Cecina ASD,G,1994,188,286,30,"9,53"
43,Giannini Filippo,US Empolese ASD,G,1991,184,283,29,"9,76"
44,Testa Filippo,Mamy Oleggio Basket,G,1997,193,278,30,"9,27"
45,Corral Diego,Fulgor Omegna,A,1986,205,276,21,"13,14"
46,Savoldelli Nicola,Valsesia Basket Borgosesia,P,1997,183,271,26,"10,42"
47,Molteni Mattia,Valsesia Basket Borgosesia,P/G,1996,190,266,29,"9,17"
48,Coviello Riccardo,Pall. Moncalieri S. Mauro,A,1988,196,266,30,"8,87"
49,Magini Michele,AS Pino Dragons Firenze,P,1988,182,266,30,"8,87"
50,Bianchi Camillo,ASD Basket Golfo Piombino,A,1994,194,265,30,"8,83"
51,Cozzoli Marcello,Valsesia Basket Borgosesia,G,1990,188,262,26,"10,08"
52,Romano Riccardo,ASD Basket Golfo Piombino,A,1984,192,262,30,"8,73"
53,Giacomelli Olivier,Etrusca Basket San Miniato,A,1995,198,259,30,"8,63"
54,Olleia Gianmarco,ASD Virtus Siena,A,1993,195,249,29,"8,59"
55,Smorto Antonio,Pall. Moncalieri S. Mauro,P/G,1995,192,248,30,"8,27"
56,Lenti Giovanni,Valsesia Basket Borgosesia,C,1996,200,246,28,"8,79"
57,Bruno Lorenzo,ASD Virtus Siena,C,1991,201,246,30,"8,20"
58,Resca Andrea,Mamy Oleggio Basket,P,1993,185,243,23,"10,57"
