"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
JUVI
  Cremona
","
56
","
30
","
28
","
2
","
2206
","
1680
","
526
","
15
","
13
","
0
","
2
"
"
Viadana
  Basket
","
48
","
30
","
24
","
6
","
2247
","
1992
","
255
","
13
","
11
","
2
","
4
"
"
Seriana
  Basket
","
48
","
30
","
24
","
6
","
2136
","
1724
","
412
","
13
","
11
","
2
","
4
"
"
New Basket
  Prevalle
","
46
","
30
","
23
","
7
","
2238
","
2069
","
169
","
13
","
10
","
2
","
5
"
"
Lic
  Verolanuova
","
30
","
30
","
15
","
15
","
2217
","
2145
","
72
","
9
","
6
","
6
","
9
"
"
Pall.
  Quistello
","
30
","
30
","
15
","
15
","
2025
","
2000
","
25
","
10
","
5
","
5
","
10
"
"
Fortitudo
  Busnago
","
30
","
30
","
15
","
15
","
2124
","
2098
","
26
","
8
","
7
","
7
","
8
"
"
BK
  Sustinente
","
28
","
30
","
14
","
16
","
2088
","
2104
","
-16
","
9
","
5
","
6
","
10
"
"
Basket
  Sarezzo
","
26
","
30
","
13
","
17
","
2016
","
2052
","
-36
","
9
","
4
","
6
","
11
"
"
Asola Lions
  Del Chiese
","
24
","
30
","
12
","
18
","
2039
","
2186
","
-147
","
9
","
3
","
6
","
12
"
"
Basket
  Bancole
","
24
","
30
","
12
","
18
","
2184
","
2357
","
-173
","
7
","
5
","
8
","
10
"
"
Gamma BK
  Segrate
","
22
","
30
","
11
","
19
","
2000
","
2146
","
-146
","
6
","
5
","
9
","
10
"
"
XXL Bergamo
","
22
","
30
","
11
","
19
","
2213
","
2369
","
-156
","
8
","
3
","
7
","
12
"
"
Bluorobica
  Bergamo
","
18
","
30
","
9
","
21
","
1965
","
2278
","
-313
","
4
","
5
","
11
","
10
"
"
Bellini
  Virtus Gorle
","
18
","
30
","
9
","
21
","
2040
","
2156
","
-116
","
7
","
2
","
8
","
13
"
"
Virtus
  Brescia
","
10
","
30
","
5
","
25
","
1761
","
2143
","
-382
","
3
","
2
","
12
","
13
"
"
Lombardia
  - C Silver Girone C
"
