"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Pavia Basket
","
48
","
26
","
24
","
2
","
1989
","
1547
","
442
","
13
","
11
","
0
","
2
"
"
Omnia Basket Pavia
","
44
","
26
","
22
","
4
","
2066
","
1736
","
330
","
10
","
12
","
3
","
1
"
"
Nuova Pall. Vigevano 1955
","
36
","
26
","
18
","
8
","
1947
","
1692
","
255
","
10
","
8
","
3
","
5
"
"
7 Laghi Gazzada Schianno
","
32
","
26
","
16
","
10
","
1924
","
1852
","
72
","
9
","
7
","
4
","
6
"
"
Milano 3 Basket Basiglio
","
30
","
26
","
15
","
11
","
1847
","
1776
","
71
","
8
","
7
","
5
","
6
"
"
Robur Saronno
","
28
","
26
","
14
","
12
","
1896
","
1870
","
26
","
8
","
6
","
5
","
7
"
"
Basket Team Battaglia
","
28
","
26
","
14
","
12
","
1908
","
1777
","
131
","
10
","
4
","
3
","
9
"
"
Nervianese 1919
","
28
","
26
","
14
","
12
","
2038
","
2002
","
36
","
9
","
5
","
4
","
8
"
"
Virtus
  Cermenate
","
22
","
26
","
11
","
15
","
1626
","
1741
","
-115
","
6
","
5
","
7
","
8
"
"
Osl Resistor Garbagnate
","
20
","
26
","
10
","
16
","
1827
","
1904
","
-77
","
6
","
4
","
7
","
9
"
"
Pallacanestro Milano
","
18
","
26
","
9
","
17
","
1789
","
1950
","
-161
","
6
","
3
","
7
","
10
"
"
Opera Basket Club
","
16
","
26
","
8
","
18
","
1834
","
2000
","
-166
","
6
","
2
","
7
","
11
"
"
Valceresio Arcisate
","
8
","
26
","
4
","
22
","
1611
","
2103
","
-492
","
2
","
2
","
11
","
11
"
"
Cistellum Cislago
","
6
","
26
","
3
","
23
","
1609
","
1961
","
-352
","
2
","
1
","
11
","
12
"
"
Lombardia - C Gold Girone A
"
