SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Nuova  Olimpia Voghera,48,26,24,2,1950,1628,322,13,11,0,2
Nuova BK  Cava Manara,42,26,21,5,1765,1549,216,12,9,1,4
Old Socks  S. Martino,34,26,17,9,1679,1590,89,9,8,4,5
Milano 3  Basiglio,30,26,15,11,1716,1714,2,9,6,4,7
Quartiere  S. Ambrogio,30,26,15,11,1773,1716,57,9,6,4,7
San  Maurense Pavia,30,26,15,11,1594,1569,25,8,7,5,6
Phoenix  Voghera,28,26,14,12,1846,1752,94,7,7,6,6
Vismara  Milano,28,26,14,12,1775,1638,137,8,6,5,7
Pallacanestro  Tromello,24,26,12,14,1626,1647,-21,7,5,6,8
US GB Abbiategrasso,22,26,11,15,1748,1848,-100,6,5,7,8
Kor San  Giuliano,20,26,10,16,1644,1706,-62,6,4,7,9
Città di  Opera,14,26,7,19,1589,1746,-157,5,2,8,11
Pentagono  Trezzano,9,26,5,21,1544,1786,-242,3,2,10,11
Frassati Basket  Castiglione A.,4,26,2,24,1539,1899,-360,2,0,11,13
D  Lombardia - C Girone E
