SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Basketball  Gallarate,48,30,24,6,2263,1928,335,14,10,1,5
Pall. Cerro  Maggiore,46,30,23,7,2111,1794,317,15,8,0,7
Casa Della  Gioventù Erba,46,30,23,7,2100,1920,180,13,10,2,5
Pall.  Aironi Robbio,40,30,20,10,2252,2101,151,12,8,3,7
Nuova  Basket Groane,40,30,20,10,2050,1855,195,10,10,5,5
Team ABC  Cantù,40,30,20,10,2239,1975,264,9,11,6,4
Olimpia  Cadorago,28,30,14,16,2058,2092,-34,7,7,8,8
Basket  Cassano Magnago,28,30,14,16,2018,2207,-189,8,6,7,9
Pallacanestro  Castronno,26,30,13,17,2011,2147,-136,8,5,7,10
Rams  Daverio,26,30,13,17,2042,2099,-57,8,5,7,10
Basket  Rovello,24,30,12,18,1992,2039,-47,6,6,9,9
Verbano  Luino,22,30,11,19,1916,2068,-152,5,6,10,9
GS  Casoratese,20,30,10,20,1941,2077,-136,5,5,10,10
Amici Della  Pall. Varese,18,30,9,21,2029,2194,-165,5,4,10,11
Sportlandia  Tradate,16,30,8,22,1963,2212,-249,4,4,11,11
Aba Legnano,12,30,6,24,1801,2078,-277,2,4,13,11
Lombardia  - C Silver Girone A
