"Serie B  Girone B
  classifica marcatori in base ai punti segnati"
34,Perin Marco,Raggiosolaris Faenza,P,1993,185,299,27,"11,07"
35,Azzola Marco,Argomm Iseo,G/A,1994,192,298,29,"10,28"
36,Manuelli Daniele,Pallacanestro Crema,P/G,1994,192,297,30,"9,90"
37,Chiera Ignacio Adrian,Benedetto XIV 2011 Cento,G,1994,190,294,26,"11,31"
38,Banti Diego,Pallacanestro Piacentina,C,1983,206,292,27,"10,81"
39,Campiello Umberto,Pallacanestro Vicenza 2012,C,1985,198,289,30,"9,63"
40,Malagutti Leonardo,Basket 2000 Reggio Emilia,P,1995,180,288,30,"9,60"
41,Bartoli Lorenzo,Urania Milano,G,1994,192,285,29,"9,83"
42,Antelli Michele,Rucker San Vendemiano,P/G/A,1997,183,285,30,"9,50"
43,Panni Alessandro,Co. Mark Bergamo,P,1991,186,282,25,"11,28"
44,Farioli Massimo,Basket 2000 Reggio Emilia,C,1977,205,277,29,"9,55"
45,Caroldi Mattia,Benedetto XIV 2011 Cento,P,1982,186,274,26,"10,54"
46,Veccia Francesco,Basket 2000 Reggio Emilia,P,1993,190,272,29,"9,38"
47,Leone Andrea,Argomm Iseo,P,1994,186,269,22,"12,23"
48,Cantone Carlo,Pallacanestro Orzinuovi,P,1985,185,269,30,"8,97"
49,Samoggia Giuliano,Pirates Accademia Basket CA,A,1983,200,265,22,"12,05"
50,Rossetto Edoardo,Rucker San Vendemiano,A,1994,199,261,30,"8,70"
51,Berti Simone,Co. Mark Bergamo,P/G,1995,196,259,28,"9,25"
52,Ingrosso Tommaso,Urania Milano,A,1992,207,259,30,"8,63"
53,Scanzi Andrea,Pallacanestro Orzinuovi,G/A,1988,190,258,29,"8,90"
54,Peroni Michele,Basket Lecco,G,1994,190,257,29,"8,86"
55,Vai Federico,Pallacanestro Vicenza 2012,A,1995,191,257,30,"8,57"
56,Todeschini Davide,Basket Lecco,P/G,1993,190,255,30,"8,50"
57,Crosato Enrico,Virtus Basket Padova,A,1985,194,254,30,"8,47"
58,Nobile Claudio,Virtus Basket Padova,C,1982,206,250,29,"8,62"
59,Andreaus Davide,Benedetto XIV 2011 Cento,A,1986,202,249,27,"9,22"
60,Bozzetto Davide,Pallacanestro Crema,C,1989,207,246,30,"8,20"
61,Benfatto Michele,Benedetto XIV 2011 Cento,C,1985,205,242,23,"10,52"
62,Silimbani jacopo,Raggiosolaris Faenza,C,1986,202,240,30,"8,00"
63,Tortù Lorenzo,Urania Milano,A,1993,202,239,24,"9,96"
64,Spera Gaetano,Basket Lecco,C,1993,210,238,30,"7,93"
65,Bona Marco,Pallacanestro Orzinuovi,P,1989,190,237,20,"11,85"
66,Rizzetto Francesco,Pallacanestro Vicenza 2012,A,1994,198,236,30,"7,87"
67,Bertolini Luca,Basket 2000 Reggio Emilia,G,1985,192,234,26,"9,00"
68,Acquaviva Alessandro,Argomm Iseo,G/A,1982,192,232,30,"7,73"
69,Pilo Mirko,Pirates Accademia Basket CA,G/A,1988,185,228,25,"9,12"
70,Dal Pos Francesco Pin,Rucker San Vendemiano,G/A,1985,193,228,28,"8,14"
71,Siberna Giacomo,Basket Lecco,A,1996,190,225,29,"7,76"
72,Belloni Francesco,Pall. Alto Sebino Costa V.,P,1994,192,220,29,"7,59"
73,Perego Riccardo,Pallacanestro Orzinuovi,A/C,1981,202,219,24,"9,13"
74,Schiavon Federico,Virtus Basket Padova,A,1988,195,219,29,"7,55"
75,Piunti Giorgio,Pallacanestro Orzinuovi,C,1990,206,219,30,"7,30"
76,Fumagalli Carlo,Basket Lecco,P,1996,187,218,30,"7,27"
77,Crescini Diego,Argomm Iseo,G/A,1987,189,213,29,"7,34"
78,Laguzzi Guillermo Nicolas,Pirates Accademia Basket CA,A/C,1982,203,211,23,"9,17"
79,Samoggia Matteo,Pallacanestro Piacentina,A,1990,198,210,26,"8,08"
80,Donadoni Alessio,Raggiosolaris Faenza,P/G/A,1997,195,210,29,"7,24"
81,Tourè Moahmed,Pallacanestro Orzinuovi,P,1992,190,210,30,"7,00"
82,Planezio Marco,Co. Mark Bergamo,A,1986,206,205,27,"7,59"
83,Pini Emanuele,Raggiosolaris Faenza,A,1997,197,205,28,"7,32"
84,Pasqualin Marco,Pallacanestro Crema,P,1997,178,204,22,"9,27"
85,Graviano Mauro,Pirates Accademia Basket CA,P,1989,185,203,28,"7,25"
86,Stojkov Stevan,Virtus Basket Padova,P,1989,182,202,23,"8,78"
87,Milani Tommaso,Co. Mark Bergamo,G,1988,190,201,22,"9,14"
88,Elia Nicola,Pirates Accademia Basket CA,G/A,1976,190,197,28,"7,04"
89,Del Sorbo Pietro,Pallacanestro Crema,G,1985,191,196,28,"7,00"
90,Esposito Alessandro,Pall. Alto Sebino Costa V.,A,1997,201,192,30,"6,40"
91,Muner Andrea,Rucker San Vendemiano,A/C,1990,200,189,30,"6,30"
92,Tempestini Tommaso,Pallacanestro Piacentina,P,1987,180,187,30,"6,23"
93,Scuratti Stefano,Argomm Iseo,C,1994,203,183,29,"6,31"
94,Salvato Gabriele,Virtus Basket Padova,P/G/A,1990,193,183,29,"6,31"
95,Barbon Cesare,Rucker San Vendemiano,G/A,1998,192,181,27,"6,70"
96,Brighi Lorenzo,Benedetto XIV 2011 Cento,G,1994,195,181,29,"6,24"
97,Giorgi Gianluca,Argomm Iseo,A/C,1995,200,180,28,"6,43"
98,Germani Enrico,Basket 2000 Reggio Emilia,A/C,1993,199,180,30,"6,00"
99,D'Alessandro Lorenzo,Benedetto XIV 2011 Cento,A,1996,198,179,30,"5,97"
100,Boero Luigi,Raggiosolaris Faenza,G,1985,183,178,30,"5,93"
101,Masocco Daniele,Rucker San Vendemiano,P/G,1993,188,175,26,"6,73"
102,Cazzolato Nicolò,Co. Mark Bergamo,P/G,1989,191,172,25,"6,88"
103,Boaro Nicola,Pallacanestro Vicenza 2012,P,1992,187,172,28,"6,14"
104,Verri Damiano,Aurora Desio 94,A/C,1985,206,169,30,"5,63"
105,Chiarello Paolo,Co. Mark Bergamo,C,1977,205,169,30,"5,63"
106,Motta Matteo,Urania Milano,G/A,1992,194,166,13,"12,77"
107,Svoboda Ariel,Aurora Desio 94,G,1985,192,157,13,"12,08"
108,Ianes Luca,Pallacanestro Vicenza 2012,C,1980,204,151,20,"7,55"
109,Casati simone,Aurora Desio 94,A,1991,197,151,22,"6,86"
110,Scodavolpe Dario,Pirates Accademia Basket CA,P/G,1983,192,150,13,"11,54"
111,Squeo Michele,Pall. Alto Sebino Costa V.,C,1989,207,150,27,"5,56"
112,Veronesi Giovanni,Argomm Iseo,G/A,1995,194,149,30,"4,97"
113,Montanari Pietro,Pallacanestro Vicenza 2012,A,1991,195,144,28,"5,14"
114,Mazzoleni Andrea,Aurora Desio 94,A,1998,200,142,28,"5,07"
115,Maccaferri Alessandro,Raggiosolaris Faenza,P,1994,170,138,21,"6,57"
116,Petronio Lorenzo,Pallacanestro Crema,G,1994,194,135,30,"4,50"
117,Poggi Giovanni,Aurora Desio 94,A,1997,202,130,29,"4,48"
118,Tardito Luca,Pallacanestro Crema,A/C,1989,204,130,29,"4,48"
119,Borghetti Marco,Pall. Alto Sebino Costa V.,P/G,1997,188,130,30,"4,33"
120,Urbani Emanuele,Basket Lecco,A,1993,203,126,30,"4,20"
121,Gorla Nicolò,Urania Milano,A,1988,198,119,27,"4,41"
122,Varaschin Lorenzo,Rucker San Vendemiano,A/C,1998,196,115,30,"3,83"
123,Valentini Luca,Aurora Desio 94,P,1997,187,113,28,"4,04"
124,Zambon Davide,Pallacanestro Orzinuovi,C,1978,205,112,28,"4,00"
125,Villani Fabio,Pirates Accademia Basket CA,G/A,1987,183,109,29,"3,76"
126,Ferrara Matteo,Virtus Basket Padova,A,1997,198,108,30,"3,60"
127,Astolfi Giuseppe,Basket 2000 Reggio Emilia,G,1990,190,105,30,"3,50"
128,Passaretti Mauro,Pirates Accademia Basket CA,C,1993,198,103,24,"4,29"
129,Stanzani Silvio,Pall. Alto Sebino Costa V.,C,1996,207,101,16,"6,31"
130,Benedetti Lorenzo,Raggiosolaris Faenza,P,1993,183,97,23,"4,22"
131,Ghiacci Andrea,Urania Milano,A,1981,200,95,12,"7,92"
132,De Paoli Ludovico,Basket Lecco,A/C,1992,207,91,14,"6,50"
133,Laganà Matteo,Urania Milano,P,2000,189,90,23,"3,91"
134,Varrone Daniele,Pirates Accademia Basket CA,C,1991,195,80,21,"3,81"
135,Brambilla Luca,Basket Lecco,A,1996,194,79,30,"2,63"
136,Ruiu Eric,Aurora Desio 94,A/C,1996,198,78,9,"8,67"
137,Botteghi Matteo,Benedetto XIV 2011 Cento,C,1995,203,78,26,"3,00"
138,Coltro Mattia,Pall. Alto Sebino Costa V.,P,1997,183,75,24,"3,13"
139,Fazioli Filippo,Rucker San Vendemiano,P,1998,191,75,28,"2,68"
140,Buscaino Damian,Rucker San Vendemiano,A,1985,201,74,14,"5,29"
141,Saresera Andrea,Argomm Iseo,G/A,1992,192,72,30,"2,40"
142,Bruni Giovanni,Pallacanestro Piacentina,P,1981,185,70,8,"8,75"
143,Basso Giovanni,Pallacanestro Vicenza 2012,G/A,1994, ,65,13,"5,00"
144,Soragna Matteo,Pallacanestro Piacentina,A,1975,198,65,21,"3,10"
145,Bovo Davide,Pallacanestro Crema,A,1997,198,65,27,"2,41"
146,Penserini Giovanni,Raggiosolaris Faenza,G,1988,192,63,12,"5,25"
147,Locci Andrea,Rucker San Vendemiano,C,1993,203,60,16,"3,75"
148,Restelli Lorenzo,Urania Milano,A,1996,198,60,26,"2,31"
149,Chinellato Eros,Pallacanestro Vicenza 2012,G/A,1991,191,59,9,"6,56"
150,Bastone Nicola ,Co. Mark Bergamo,A,1992,196,54,13,"4,15"
151,Buzzini Roberto,Aurora Desio 94,A,1995,180,53,19,"2,79"
152,Permon Pietro,Pall. Alto Sebino Costa V.,G,1996,188,51,27,"1,89"
153,Gurini,Basket 2000 Reggio Emilia, , , ,49,12,"4,08"
154,Bianchi Sebastiano,Benedetto XIV 2011 Cento,A,1992,195,46,4,"11,50"
155,Guerra Filippo,Pallacanestro Piacentina,P,1997,188,46,23,"2,00"
156,Albique Luca,Aurora Desio 94,A,1997,192,45,17,"2,65"
157,Sabbatino Nunzio,Benedetto XIV 2011 Cento,P,1992,182,44,9,"4,89"
158,Lauwers Dimitri,Co. Mark Bergamo,G,1979,188,38,8,"4,75"
159,Melis Edoardo,Pirates Accademia Basket CA,C,1992,195,35,19,"1,84"
160,Vico Sebastian,Benedetto XIV 2011 Cento,G,1986,190,25,2,"12,50"
161,Florida Giuseppe,Pirates Accademia Basket CA,A,1999,192,23,9,"2,56"
162,Lorenzetti Antonio,Pallacanestro Orzinuovi,G/A,1995,194,21,8,"2,63"
163,Oboe Francesco,Pallacanestro Vicenza 2012,P,2000,187,21,12,"1,75"
164,Cusinato Marco,Virtus Basket Padova,C,1995,209,21,14,"1,50"
165,Di Coste Enrico,Raggiosolaris Faenza,C,1995,218,20,14,"1,43"
166,Nicoletti Lorenzo,Pallacanestro Crema,G,1996,188,20,23,"0,87"
167,Fossati Massimiliano,Pallacanestro Orzinuovi,G/A,1993,190,17,7,"2,43"
168,Cabriolu Luigi,Pirates Accademia Basket CA,G/A,1999,193,16,13,"1,23"
169,Dell'Aira Gianmarco,Argomm Iseo,P,1997,185,15,11,"1,36"
170,Piva Dario,Basket Lecco,A/C,1994,190,13,11,"1,18"
171,Scroccaro Riccardo,Aurora Desio 94,G/A,1997, ,12,9,"1,33"
172,Buia Federico,Virtus Basket Padova, , , ,11,5,"2,20"
173,Michelin Matteo,Rucker San Vendemiano,G/A,1998,xxx,11,7,"1,57"
174,Tracchi,Rucker San Vendemiano, , , ,9,3,"3,00"
175,Clark Leonardo William,Virtus Basket Padova,P,1998,182,8,6,"1,33"
176,Salami Giacomo,Basket 2000 Reggio Emilia,P,1997,193,7,8,"0,88"
177,Fatello Alessandro,Pallacanestro Orzinuovi,P,1998,191,6,7,"0,86"
178,Farabegoli Dario,Benedetto XIV 2011 Cento,A/C,1998, ,5,6,"0,83"
179,Giorgio ,Argomm Iseo, , , ,4,1,"4,00"
180,Zambetti Davide,Pall. Alto Sebino Costa V.,P,1999,xxx,4,2,"2,00"
181,Rigon Piergiacomo,Pallacanestro Vicenza 2012,G/A,2001,192,4,2,"2,00"
182,Piantoni Giacomo,Argomm Iseo,A,1997,193,4,4,"1,00"
183,Bedini Ferdi,Co. Mark Bergamo,G,1999,190,4,11,"0,36"
184,Libè Simone,Pallacanestro Piacentina,P/G,1998, ,3,6,"0,50"
185,Sedazzari Jacopo,Urania Milano,P,2000,175,3,7,"0,43"
186,Stefanelli Stefano,Raggiosolaris Faenza,G,1998,xxx,2,1,"2,00"
187,Ricci Simone,Co. Mark Bergamo,G/A,1998,191,2,2,"1,00"
188,Manetti Sebastiano,Pirates Accademia Basket CA,C,1994,200,2,2,"1,00"
189,Parma,Aurora Desio 94, , , ,2,2,"1,00"
190,Pellizzari Edoardo,Argomm Iseo,A,1999,197,2,3,"0,67"
191,Bonetto Giovanni,Virtus Basket Padova,P,1997,185,2,4,"0,50"
192,Zanardi William,Pallacanestro Orzinuovi,P,2000, ,2,5,"0,40"
193,Bravi Elia,Benedetto XIV 2011 Cento,G,1998, ,2,6,"0,33"
194,Agriesti Leonardo,Raggiosolaris Faenza,G,1998,180,2,7,"0,29"
195,Turcato Andrea,Pallacanestro Vicenza 2012,C,1996, ,1,2,"0,50"
196,Ferrari Tommaso,Basket 2000 Reggio Emilia,A,1997,191,1,17,"0,06"
 , , , , , , , , 
"Serie B Girone B
  classifica marcatori in base alla media giornate  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Centanni Simone,Pall. Alto Sebino Costa V.,P,1991,185,598,30,"19,93"
2,Ghersetti Mario Josè,Co. Mark Bergamo,A,1981,201,477,27,"17,67"
3,Paleari Andrea,Urania Milano,C,1981,202,434,27,"16,07"
4,Pugi Federico,Basket 2000 Reggio Emilia,A,1986,206,319,20,"15,95"
5,Lazzaro Marco,Virtus Basket Padova,A,1992,195,454,30,"15,13"
6,Ferrarese Simone,Urania Milano,P,1987,184,431,29,"14,86"
7,Canelo Jean Carlos,Virtus Basket Padova,G/A,1987,188,420,29,"14,48"
8,Sanguinetti Giacomo,Pallacanestro Piacentina,P/G,1990,181,418,30,"13,93"
9,Negri Andrea,Aurora Desio 94,A,1988,198,390,28,"13,93"
10,Liberati Davide,Pallacanestro Crema,P/G,1992,190,416,30,"13,87"
11,Torgano Marco,Aurora Desio 94,A,1991,198,349,26,"13,42"
12,Iattoni Riccardo,Raggiosolaris Faenza,A,1992,198,381,29,"13,14"
13,Demartini Daniele,Pallacanestro Vicenza 2012,P,1984,187,381,29,"13,14"
14,Rezzano Massimo,Pallacanestro Piacentina,A/C,1982,203,365,28,"13,04"
15,Pullazzi Rei,Co. Mark Bergamo,C,1993,203,376,29,"12,97"
16,Motta Matteo,Urania Milano,G/A,1992,194,166,13,"12,77"
17,Chiappelli Gioacchino,Basket 2000 Reggio Emilia,A/C,1991,200,380,30,"12,67"
18,Ruggero Antonio,Pallacanestro Orzinuovi,G/A,1981,190,367,29,"12,66"
19,Vico Sebastian,Benedetto XIV 2011 Cento,G,1986,190,25,2,"12,50"
20,Prestini Gianluigi,Argomm Iseo,A/C,1989,200,368,30,"12,27"
,,,,,,,,
