"Serie B  Girone B
  classifica marcatori in base ai punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Centanni Simone,Pall. Alto Sebino Costa V.,P,1991,185,598,30,"19,93"
2,Ghersetti Mario Josè,Co. Mark Bergamo,A,1981,201,477,27,"17,67"
3,Lazzaro Marco,Virtus Basket Padova,A,1992,195,454,30,"15,13"
4,Paleari Andrea,Urania Milano,C,1981,202,434,27,"16,07"
5,Ferrarese Simone,Urania Milano,P,1987,184,431,29,"14,86"
6,Canelo Jean Carlos,Virtus Basket Padova,G/A,1987,188,420,29,"14,48"
7,Sanguinetti Giacomo,Pallacanestro Piacentina,P/G,1990,181,418,30,"13,93"
8,Liberati Davide,Pallacanestro Crema,P/G,1992,190,416,30,"13,87"
9,Negri Andrea,Aurora Desio 94,A,1988,198,390,28,"13,93"
10,Iattoni Riccardo,Raggiosolaris Faenza,A,1992,198,381,29,"13,14"
11,Demartini Daniele,Pallacanestro Vicenza 2012,P,1984,187,381,29,"13,14"
12,Chiappelli Gioacchino,Basket 2000 Reggio Emilia,A/C,1991,200,380,30,"12,67"
13,Pullazzi Rei,Co. Mark Bergamo,C,1993,203,376,29,"12,97"
14,Prestini Gianluigi,Argomm Iseo,A/C,1989,200,368,30,"12,27"
15,Ruggero Antonio,Pallacanestro Orzinuovi,G/A,1981,190,367,29,"12,66"
16,Rezzano Massimo,Pallacanestro Piacentina,A/C,1982,203,365,28,"13,04"
17,Carlesso Andrea,Rucker San Vendemiano,C,1992,202,361,30,"12,03"
18,Torgano Marco,Aurora Desio 94,A,1991,198,349,26,"13,42"
19,Casadei Daniele,Raggiosolaris Faenza,A,1981,200,340,29,"11,72"
20,Pilotti Andrea,Pall. Alto Sebino Costa V.,A,1980,195,336,30,"11,20"
21,Leonzio Ennio,Pallacanestro Piacentina,G,1994,192,335,28,"11,96"
22,Trionfo Romeo,Pirates Accademia Basket CA,A,1985,196,332,30,"11,07"
23,Bergamin Andres,Pall. Alto Sebino Costa V.,A,1993,198,329,29,"11,34"
24,Balanzoni Jacopo,Basket Lecco,C,1993,203,329,30,"10,97"
25,De Min Thomas,Pallacanestro Crema,A,1986,203,325,28,"11,61"
26,Pugi Federico,Basket 2000 Reggio Emilia,A,1986,206,319,20,"15,95"
27,Bedetti Luca,Benedetto XIV 2011 Cento,A,1989,193,315,30,"10,50"
28,Magrini Mattia,Pallacanestro Piacentina,G,1993,190,314,30,"10,47"
29,Pignatti Luca,Benedetto XIV 2011 Cento,A,1986,198,311,30,"10,37"
30,Campiello Andrea,Pallacanestro Vicenza 2012,A,1987,200,310,30,"10,33"
31,Valenti Rodolfo,Pallacanestro Orzinuovi,C,1980,198,310,30,"10,33"
32,Quartieri Daniele,Basket Lecco,G,1987,195,300,28,"10,71"
33,Politi Filippo,Aurora Desio 94,C,1980,205,300,29,"10,34"
