"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
Robur BK
  Saronno
","
50
","
30
","
25
","
5
","
2262
","
1913
","
349
","
14
","
11
","
1
","
4
"
"
N.P. Gordon
  Olginate
","
44
","
30
","
22
","
8
","
2145
","
1952
","
193
","
12
","
10
","
3
","
5
"
"
Pall.
  Bernareggio
","
42
","
30
","
21
","
9
","
2256
","
2067
","
189
","
11
","
10
","
4
","
5
"
"
7 Laghi
  Gazzada
","
40
","
30
","
20
","
10
","
2270
","
1994
","
276
","
11
","
9
","
4
","
6
"
"
Pol. Lierna
","
38
","
30
","
19
","
11
","
2287
","
2088
","
199
","
10
","
9
","
5
","
6
"
"
USD
  Nervianese
","
34
","
30
","
17
","
13
","
2246
","
2220
","
26
","
8
","
9
","
7
","
6
"
"
A.P.L.
  Lissone
","
32
","
30
","
16
","
14
","
1965
","
2016
","
-51
","
9
","
7
","
6
","
8
"
"
Virtus
  Cermenate
","
32
","
30
","
16
","
14
","
1996
","
2082
","
-86
","
9
","
7
","
6
","
8
"
"
Cistellum
  Cislago
","
30
","
30
","
15
","
15
","
2012
","
2032
","
-20
","
6
","
9
","
9
","
6
"
"
Nelson Somma
","
30
","
30
","
15
","
15
","
2257
","
2255
","
2
","
8
","
7
","
7
","
8
"
"
Carpe Diem
  Calolziocorte
","
26
","
30
","
13
","
17
","
2156
","
2093
","
63
","
8
","
5
","
7
","
10
"
"
O.S.L.
  Garbagnate
","
26
","
30
","
13
","
17
","
2206
","
2282
","
-76
","
8
","
5
","
7
","
10
"
"
BK Valceresio
","
22
","
30
","
11
","
19
","
2069
","
2307
","
-238
","
4
","
7
","
11
","
8
"
"
A.S.Dil.
  Lesmo 2004
","
16
","
30
","
8
","
22
","
2227
","
2461
","
-234
","
3
","
5
","
12
","
10
"
"
P.O.S.A.L.
  Sesto
","
12
","
30
","
6
","
24
","
2111
","
2367
","
-256
","
3
","
3
","
12
","
12
"
"
Hydrotherm
  Casorate
","
6
","
30
","
3
","
27
","
1928
","
2264
","
-336
","
2
","
1
","
13
","
14
"
"
Lombardia -
  C Gold Girone A
"
,,,,,,,,,,,
"
Play Off
",,,,,,,,,,,
"
Salvezza
  Diretta
",,,,,,,,,,,
"
Play Out
",,,,,,,,,,,
"
Retrocessione
  Diretta
",,,,,,,,,,,
