SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Olimpia  Lumezzane,44,26,22,4,1962,1761,201,12,10,1,3
E' Più Casalmaggiore,40,26,20,6,1835,1620,215,11,9,2,4
Basket Ome,40,26,20,6,2016,1816,200,11,9,2,4
Pall.  Quistello,36,26,18,8,1948,1740,208,12,6,1,7
Tazio Magni  Gussola,36,26,18,8,1887,1746,141,11,7,2,6
Basket  Bancole,34,26,17,9,1940,1867,73,9,8,4,5
Bk Sustinente,26,26,13,13,1729,1727,2,8,5,5,8
San Pio X  Mantova,20,26,10,16,1780,1781,-1,4,6,9,7
Vespa Basket  ASD,20,26,10,16,1655,1813,-158,6,4,7,9
Pontevico  Basket,20,26,10,16,1797,1895,-98,6,4,7,9
Mgm Bk  Brescia,18,26,9,17,1747,1933,-186,5,4,8,9
Marella  Desenzano,14,26,7,19,1610,1793,-183,3,4,10,9
Basket  Chiari,12,26,6,20,1766,1930,-164,5,1,8,12
Cus Brescia,4,26,2,24,1639,1889,-250,1,1,12,12
D Lombardia  Girone B
,,,,,,,,,,,
Play Off,,,,,,,,,,,
Salvezza  Diretta,,,,,,,,,,,
Play Out,,,,,,,,,,,
Retrocessione  Diretta,,,,,,,,,,,
