"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
A.S. Dil.
  Morbegno
","
44
","
28
","
22
","
6
","
1909
","
1749
","
160
","
11
","
11
","
3
","
3
"
"
Bocconi
  Milano
","
44
","
28
","
22
","
6
","
2105
","
1772
","
333
","
11
","
11
","
3
","
3
"
"
Soul Basket
  Milano
","
40
","
28
","
20
","
8
","
1784
","
1604
","
180
","
13
","
7
","
1
","
7
"
"
Bionics
  Buccinasco
","
38
","
28
","
19
","
9
","
2019
","
1827
","
192
","
11
","
8
","
3
","
6
"
"
Rondinella
  Sesto
","
38
","
28
","
19
","
9
","
1947
","
1784
","
163
","
10
","
9
","
4
","
5
"
"
Libertas
  Cernusco
","
36
","
28
","
18
","
10
","
1768
","
1599
","
169
","
11
","
7
","
3
","
7
"
"
Spor.Boffalorese
","
34
","
28
","
17
","
11
","
1944
","
1836
","
108
","
8
","
9
","
6
","
5
"
"
Basketown
  Milano
","
28
","
28
","
14
","
14
","
1841
","
1834
","
7
","
7
","
7
","
7
","
7
"
"
US G.B.
  Abbiategrasso
","
26
","
28
","
13
","
15
","
1746
","
1888
","
-142
","
9
","
4
","
5
","
10
"
"
Rhinos
  Robbiate
","
24
","
28
","
12
","
16
","
1791
","
1885
","
-94
","
7
","
5
","
7
","
9
"
"
Virtus Meda
  BK
","
20
","
28
","
10
","
18
","
1775
","
1867
","
-92
","
6
","
4
","
8
","
10
"
"
Social O.S.A.
  Milano
","
14
","
28
","
7
","
21
","
1615
","
1759
","
-144
","
5
","
2
","
9
","
12
"
"
G.S.Q.S.A.  Milano
","
12
","
28
","
6
","
22
","
1676
","
1883
","
-207
","
3
","
3
","
11
","
11
"
"
Rag.S.Pio X
  Milano
","
12
","
28
","
6
","
22
","
1651
","
1897
","
-246
","
4
","
2
","
10
","
12
"
"
C.S.C. Bk
  Cusano
","
7
","
28
","
3,5
","
24,5
","
1675
","
2062
","
-387
","
3
","
2
","
11
","
12
"
"
Lombardia -
  C Silver Girone A
"
,,,,,,,,,,,
"
Play Off
",,"
Gambolò esclusa dal campionato per
  mancato pagamento terza rata regionale
",
"
Salvezza
  Diretta
",,"
come da CU n.1505 del 23/12/2015
","
 
","
 
","
 
","
 
","
 
",
"
Play Out
",,,,,,,,,,,
"
Retrocessione
  Diretta
",,"
CSC Cusano penalizzato di 3 punti vedi
  comunicato FIP n° 1622 del 11-01-2016
",
