"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
O.S.A.L.
  Novate
","
42
","
26
","
21
","
5
","
1834
","
1659
","
175
","
11
","
10
","
2
","
3
"
"
Politecnico
  di Milano
","
40
","
26
","
20
","
6
","
1914
","
1696
","
218
","
10
","
10
","
3
","
3
"
"
ItalControlMeters
  Villasanta
","
40
","
26
","
20
","
6
","
1864
","
1592
","
272
","
10
","
10
","
3
","
3
"
"
S.Giuseppe Arese
","
40
","
26
","
20
","
6
","
1797
","
1637
","
160
","
11
","
9
","
2
","
4
"
"
Basket
  Biassono
","
28
","
26
","
14
","
12
","
1773
","
1683
","
90
","
5
","
9
","
8
","
4
"
"
Basket
  Brusuglio
","
26
","
26
","
13
","
13
","
1565
","
1588
","
-23
","
7
","
6
","
6
","
7
"
"
C.B.B.A.
  Brugherio
","
26
","
26
","
13
","
13
","
1703
","
1713
","
-10
","
6
","
7
","
7
","
6
"
"
Asa Cinisello
","
24
","
26
","
12
","
14
","
1678
","
1680
","
-2
","
5
","
7
","
8
","
6
"
"
Mojazza Milano
","
22
","
26
","
11
","
15
","
1789
","
1825
","
-36
","
5
","
6
","
8
","
7
"
"
Gerardiana
  Monza
","
18
","
26
","
9
","
17
","
1624
","
1728
","
-104
","
4
","
5
","
9
","
8
"
"
Ferrall
  Cavenago
","
16
","
26
","
8
","
18
","
1595
","
1756
","
-161
","
5
","
3
","
8
","
10
"
"
Sporting
  Milanino
","
15
","
26
","
7,5
","
18,5
","
1609
","
1735
","
-126
","
5
","
4
","
8
","
9
"
"
Basket
  Seregno
","
14
","
26
","
7
","
19
","
1812
","
1934
","
-122
","
4
","
3
","
9
","
10
"
"
Forti E
  Liberi Monza
","
10
","
26
","
5
","
21
","
1594
","
1925
","
-331
","
3
","
2
","
10
","
11
"
"
D Lombardia
  Girone D
"
,,,,,,,,,,,
"
Play Off
",,,,,,,,,,,
"
Salvezza
  Diretta
",,,,,,,,,,,
"
Play Out
",,,,,,,,,,,
"
Retrocessione
  Diretta
",,"
Sporting Milanino penalizzato di 3
  punti
","
 
",,,,
