SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Baskettiamo  Vittuone,44,26,22,4,1768,1518,250,12,10,1,3
Pol. Daverio,39,26,"19,5","6,5",1646,1481,165,10,10,3,3
Cbc Corbetta,34,26,17,9,1757,1640,117,11,6,2,7
Marnatese  Basket,30,26,15,11,1580,1482,98,8,7,5,6
Or.Ma.  Malnate,28,26,14,12,1611,1578,33,6,8,7,5
Motrix  Cavaria,28,26,14,12,1736,1711,25,8,6,5,7
Ardens  Sedriano,28,26,14,12,1723,1739,-16,8,6,5,7
Campus Varese,26,26,13,13,1804,1759,45,8,5,5,8
Pall.  Vergiate Vikings,24,26,12,14,1836,1853,-17,6,6,7,7
ASD Montello,24,26,12,14,1543,1642,-99,8,4,5,9
Jolly Sport  Rho,20,26,10,16,1679,1748,-69,5,5,8,8
Basket  Legnano 91,18,26,9,17,1577,1652,-75,5,4,8,9
B.C.  Arlunese,14,26,7,19,1766,1913,-147,5,2,8,11
Turbigo  Basket,6,26,3,23,1409,1719,-310,2,1,11,12
D Lombardia  Girone C
,,,,,,,,,,,
Play Off,,Pol. Daverio  - 8G partita persa 0-20 e 1 punto di  penalizzazione,,,
Salvezza  Diretta,,,,,,,,,,,
Play Out,,,,,,,,,,,
Retrocessione  Diretta,,,,,,,,,,,
