SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Pall. Cerro  Maggiore,46,30,23,7,2224,1947,277,12,11,3,4
BkBall  Gallarate,44,30,22,8,2241,1907,334,13,9,2,6
Allianz Bank  Rovello,44,30,22,8,2131,1962,169,12,10,3,5
Pall.  Castronno,42,30,21,9,2146,1980,166,12,9,3,6
Team ABC  Cantù,42,30,21,9,2141,2025,116,12,9,3,6
Az Pneumatica  - Cares Cadorago,40,30,20,10,2265,2157,108,11,9,4,6
Mia Bk Groane,36,30,18,12,2056,1902,154,10,8,5,7
Sportlandia  Tradate,28,30,14,16,2080,2112,-32,9,5,6,10
Amici Pall.  Varese,24,30,12,18,2029,2096,-67,7,5,8,10
BK Cassano  Magnago,24,30,12,18,2048,2172,-124,7,5,8,10
Ardor Bollate,24,30,12,18,2046,2151,-105,7,5,8,10
BK Bosto  Varese,22,30,11,19,1948,2199,-251,8,3,7,12
Virtus Olona,20,30,10,20,1984,2159,-175,6,4,9,11
Aba Legnano,20,30,10,20,1958,2060,-102,6,4,9,11
Pall.  Verbano Luino,18,30,9,21,1966,2042,-76,7,2,8,13
Basket  Tavernerio,6,30,3,27,1718,2110,-392,3,0,12,15
Lombardia -  C Silver Girone B
,,,,,,,,,,,
Play Off,,,,,,,,,,,
Salvezza Diretta,,,,,,,,,,,
Play Out,,,,,,,,,,,
Retrocessione  Diretta,,,,,,,,,,,
