"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
Argomm Iseo
","
52
","
30
","
26
","
4
","
2425
","
2039
","
386
","
13
","
13
","
2
","
2
"
"
Corona
  Platina Piadena
","
46
","
30
","
23
","
7
","
2216
","
1945
","
271
","
12
","
11
","
3
","
4
"
"
N.P. Vigevano
  1955
","
40
","
30
","
20
","
10
","
2038
","
1943
","
95
","
11
","
9
","
4
","
6
"
"
Basket Team
  Pizzighettone
","
40
","
30
","
20
","
10
","
2134
","
2013
","
121
","
11
","
9
","
4
","
6
"
"
A.S.D.
  Milanotre BK
","
36
","
30
","
18
","
12
","
2230
","
2112
","
118
","
10
","
8
","
5
","
7
"
"
Manerbio
  Basket
","
34
","
30
","
17
","
13
","
2111
","
2063
","
48
","
8
","
9
","
7
","
6
"
"
Omnia BK
  Lungavilla
","
34
","
30
","
17
","
13
","
2266
","
2202
","
64
","
10
","
7
","
5
","
8
"
"
Nuova Olympia
  BK Voghera
","
32
","
30
","
16
","
14
","
1966
","
1912
","
54
","
9
","
7
","
6
","
8
"
"
Virtus
  Lumezzane
","
32
","
30
","
16
","
14
","
2147
","
2129
","
18
","
8
","
8
","
7
","
7
"
"
Pall. Milano
  1958
","
32
","
30
","
16
","
14
","
2232
","
2296
","
-64
","
10
","
6
","
5
","
9
"
"
Opera Basket
  Club
","
26
","
30
","
13
","
17
","
2047
","
2114
","
-67
","
8
","
5
","
7
","
10
"
"
Aironi Pall.
  Robbio
","
24
","
30
","
12
","
18
","
2183
","
2312
","
-129
","
7
","
5
","
8
","
10
"
"
G.S.A. Basket
  Sarezzo
","
22
","
30
","
11
","
19
","
2102
","
2118
","
-16
","
4
","
7
","
11
","
8
"
"
Sansebasket
  Cremona
","
20
","
30
","
10
","
20
","
1965
","
2075
","
-110
","
7
","
3
","
8
","
12
"
"
Ebro BK
  Milano
","
8
","
30
","
4
","
26
","
1805
","
2083
","
-278
","
3
","
1
","
12
","
14
"
"
Viadana
  Basket
","
2
","
30
","
1
","
29
","
1809
","
2320
","
-511
","
0
","
1
","
15
","
14
"
"
Lombardia -
  C Gold Girone A
"
,,,,,,,,,,,
"
Play Off
",,,,,,,,,,,
"
Salvezza
  Diretta
",,,,,,,,,,,
"
Play Out
",,,,,,,,,,,
"
Retrocessione
  Diretta
",,,,,,,,,,,
