SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
New Basket Prevalle,54,30,27,3,2450,1893,557,15,12,0,3
MI.GA.L.  Gardonese,44,30,22,8,2190,1851,339,14,8,1,7
Ombriano Basket,44,30,22,8,2130,2084,46,13,9,2,6
Pall. Quistello,40,30,20,10,2322,2081,241,13,7,2,8
BK Casalmaggiore,38,30,19,11,2163,1928,235,13,6,2,9
Basket Ome 01,32,30,16,14,2207,2182,25,10,6,5,9
San Pio X Mantova,30,30,15,15,1892,1931,-39,10,5,5,10
Olimpia Basket Castelcovati,28,30,14,16,1965,2097,-132,9,5,6,10
Basket Bancole,28,30,14,16,2288,2349,-61,7,7,8,8
Tazio Magni Gussola,26,30,13,17,2055,2134,-79,8,5,7,10
Basket Chiari,26,30,13,17,2217,2291,-74,8,5,7,10
Virtus Desenzano,24,30,12,18,1999,2204,-205,9,3,6,12
Pontevico Basket,20,30,10,20,1953,2124,-171,5,5,10,10
Basket Sustinente,20,30,10,20,2034,2160,-126,6,4,9,11
Pall. Castegnato,14,30,7,23,1847,2125,-278,2,5,13,10
Gilbertina Soresina,12,30,6,24,1935,2213,-278,4,2,11,13
,,,
