"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
U.S.S.A. Nova Basket
","
54
","
30
","
27
","
3
","
2259
","
1898
","
361
","
13
","
14
","
2
","
1
"
"
Forti e Liberi Monza
","
46
","
30
","
23
","
7
","
2159
","
1818
","
341
","
11
","
12
","
4
","
3
"
"
Pol. Varedo
","
46
","
30
","
23
","
7
","
2193
","
1838
","
355
","
13
","
10
","
2
","
5
"
"
Team 86 Villasanta
","
46
","
30
","
23
","
7
","
2292
","
2033
","
259
","
13
","
10
","
2
","
5
"
"
Cral Dalmine
","
44
","
30
","
22
","
8
","
2120
","
1944
","
176
","
12
","
10
","
3
","
5
"
"
Azzanese Basket
","
38
","
30
","
19
","
11
","
2164
","
2076
","
88
","
8
","
11
","
7
","
4
"
"
Basket Bellusco
","
32
","
30
","
16
","
14
","
2168
","
2029
","
139
","
7
","
9
","
8
","
6
"
"
U.S. S.Pellegrino
","
32
","
30
","
16
","
14
","
2065
","
2074
","
-9
","
7
","
9
","
8
","
6
"
"
Basket Biassono
","
30
","
30
","
15
","
15
","
1893
","
1970
","
-77
","
8
","
7
","
7
","
8
"
"
C.B.B.A.
  Brugherio
","
24
","
30
","
12
","
18
","
1966
","
2042
","
-76
","
8
","
4
","
7
","
11
"
"
Scuola BK Treviglio
","
24
","
30
","
12
","
18
","
1821
","
1936
","
-115
","
7
","
5
","
8
","
10
"
"
Master Carate
","
22
","
30
","
11
","
19
","
2161
","
2259
","
-98
","
8
","
3
","
7
","
12
"
"
Basket Verdello
","
20
","
30
","
10
","
20
","
2132
","
2304
","
-172
","
6
","
4
","
9
","
11
"
"
Gerardiana Monza
","
14
","
30
","
7
","
23
","
1924
","
2239
","
-315
","
5
","
2
","
10
","
13
"
"
BK Cologno Al Serio
","
8
","
30
","
4
","
26
","
1984
","
2247
","
-263
","
2
","
2
","
13
","
13
"
"
Casati Arcore
","
0
","
30
","
0
","
30
","
1648
","
2242
","
-594
","
0
","
0
","
15
","
15
"
"
 
","
 
","
 
","
 
"
