SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Olimpo Basket Alba,44,26,22,4,1852,1714,138,12,10,1,3
PGS Don Bosco Crocetta,40,26,20,6,2021,1662,359,12,8,1,5
ASD Basket Club Trecate,36,26,18,8,1778,1684,94,11,7,2,6
US Dil. Basket Rosmini,36,26,18,8,2048,1770,278,11,7,2,6
Spezia Basket  Club A.Dil.,36,26,18,8,2011,1863,148,11,7,2,6
Basket Follo A. Dil.,30,26,15,11,1948,1839,109,8,7,5,6
ASD Basket Club Serravalle,30,26,15,11,1878,1804,74,9,6,4,7
Basket Team 71,24,26,12,14,1872,1711,161,7,5,6,8
Amatori Basket Savigliano,24,26,12,14,1737,1898,-161,6,6,7,7
Cus Genova AS Dil.,20,26,10,16,1788,1870,-82,5,5,8,8
Pall. Moncalieri S. Mauro,20,26,10,16,1785,1794,-9,5,5,8,8
AS Dil. Cestistica Biella,16,26,8,18,1737,1839,-102,7,1,6,12
Basket Pool 2000 Asd,8,26,4,22,1649,1933,-284,2,2,11,11
AS Dil. Il Canestro,0,26,0,26,1557,2280,-723,0,0,13,13
,,,
