D  Lombardia Girone B classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
76,Tagliabue Luca,Basket Tavernerio, ,140,17,"8,24",
77,Lucchina Alfredo   (82),A.S. Dil. Morbegno,P,140,26,"5,38",
78,Castiglioni Julian (97),Virtus Meda,P,136,29,"4,69",
79,Ghislanzoni Matteo   (91),Centro Basket Pescate,A,131,22,"5,95",
80,Manni Emanuele  (95),A.S. Dil. Morbegno,G,131,28,"4,68",
81,Beretta Lorenzo (96),Pallacanestro Como,G,130,14,"9,29",
82,Spazzini Mattia   (93),Polisportiva Senna,G,126,14,"9,00",
83,Cattaneo Nicolò (88),Giardino LVS Basket Orsenigo,P,125,20,"6,25",
84,Gazzola Alessandro (95),Giardino LVS Basket Orsenigo,A,123,27,"4,56",
85,Pozzi Alberto  (90),S. Ambrogio Mariano,A,120,20,"6,00",
86,Bongini Andrea (87),BC Tirano,G,120,24,"5,00",
87,Ravasi Marco,Rhinos Robbiate, ,119,17,"7,00",
88,Corti Gianluca  (95),Casa Gioventù Erba,A/C,119,22,"5,41",
89,Trebbi Alberto  (85),Polisportiva Senna,G/A,118,14,"8,43",
90,Negri Matteo (92),BC Tirano,P,117,21,"5,57",
91,Corti Stefano (97),Pallacanestro Como,A,115,19,"6,05",
92,Costacurta Mattia   (91),Polisportiva Senna,P/G,114,10,"11,40",
93,Albonico T.,Pallacanestro Como, ,113,19,"5,95",
94,Broggi Matteo   (94),Giardino LVS Basket Orsenigo,G,110,26,"4,23",
95,Bongio Paolo  (86),A.S. Dil. Morbegno,G,110,27,"4,07",
96,Caglio Andrea (97),Virtus Meda,G,109,28,"3,89",
97,Corti Alessandro   (90),Casa Gioventù Erba,A,107,19,"5,63",
98,Castelli Carlo  (87),S. Ambrogio Mariano,A,107,20,"5,35",
99,Clerici Mattia (89),ABC Pall. Lomazzo,A,107,29,"3,69",
100,Spiga Andrea  (90),Basket Tavernerio,G,106,9,"11,78",
101,Tabacco Mattia,Pall. Figino, ,105,13,"8,08",
102,Alessio Alfio,ARS Rovagnate, ,104,16,"6,50",
103,Pogliaghi Edoardo   (94),Pol. Mandello Lario,G,102,18,"5,67",
104,Aiani Francesco   (87),Basket Tavernerio,P,99,16,"6,19",
105,Fontana C.,Centro Basket Pescate, ,99,23,"4,30",
106,Nova Sergio,ARS Rovagnate, ,99,27,"3,67",
107,Bianchi Francesco   (87),S. Ambrogio Mariano,G,95,18,"5,28",
108,Bertolini Paolo (93),Giardino LVS Basket Orsenigo,P,95,23,"4,13",
109,Baggi Matteo (94),BC Tirano,G,94,9,"10,44",
110,Trebbi Carlo,Polisportiva Senna, ,94,14,"6,71",
111,Pontiggia,A.S. Dil. Morbegno, ,94,22,"4,27",
112,Zonta Alessandro   (89),Polisportiva Senna,G,93,8,"11,63",
113,Giussani Riccardo   (92),Casa Gioventù Erba,A,93,25,"3,72",
114,Croci Andrea  (89),S. Ambrogio Mariano,A,90,18,"5,00",
115,Porro Giorgio (90),Pall. Figino,P/G,88,22,"4,00",
116,Moscatelli Samuele (97),Pallacanestro Como,A,86,18,"4,78",
117,De Gianni,Sportiva Sondrio, ,86,24,"3,58",
118,Bacchetti Nicolò (95),S. Ambrogio Mariano,P,85,22,"3,86",
119,Colombo Fabio  (86),Polisportiva Senna,P,84,13,"6,46",
120,Castagna Mirko (95),Pol. Mandello Lario,G,84,17,"4,94",
121,Beretta Simone (93),Pallacanestro Como,A,83,6,"13,83",
122,Aiani Alberto,Basket Tavernerio, ,83,11,"7,55",
123,Kaho Guy  (84),ARS Rovagnate,G/A,82,6,"13,67",
124,Turati  Tommaso (96),Pallacanestro Como,G/A,81,16,"5,06",
125,Faccinelli Sandro   (75),BC Tirano,C,79,9,"8,78",
126,Molteni Roberto (79),ABC Pall. Lomazzo,C,79,18,"4,39",
127,Fazio Stefano,Centro Basket Pescate, ,79,27,"2,93",
128,Crippa Fabio  (87),Rhinos Robbiate,A,78,12,"6,50",
129,Riva Simone Giovanni   (94),A.S. Dil. Morbegno,G,77,24,"3,21",
130,Polvara Vittorio (96),Centro Basket Pescate, ,76,21,"3,62",
131,Sironi Daniele  (91),Casa Gioventù Erba,A,73,29,"2,52",
132,Colombo Davide,Casa Gioventù Erba, ,72,20,"3,60",
133,Negri Alessandro,Centro Basket Pescate, ,71,12,"5,92",
134,Arnaboldi  L.,Pall. Figino, ,71,23,"3,09",
135,Guanziroli Andrea   (95),Pol. Mandello Lario,P,71,25,"2,84",
136,Bertola Matteo  (91),Casa Gioventù Erba,G,70,9,"7,78",
137,Verduzzo F.,Polisportiva Senna, ,69,13,"5,31",
138,Zucchi Paolo  (89),Basket Tavernerio,G,69,17,"4,06",
139,Colombo Andrea  (95),Casa Gioventù Erba,G,64,17,"3,76",
140,Ciceri Daniele (96),Pallacanestro Como,G,62,14,"4,43",
141,Pedrotti Michele (94),BC Tirano,A,59,11,"5,36",
142,Corti Gabriele  (88),S. Ambrogio Mariano,A,58,10,"5,80",
143,Crippa Michele (96),Pol. Mandello Lario,C,58,22,"2,64",
144,Casati Paolo (94),Giardino LVS Basket Orsenigo,A,58,27,"2,15",
145,Susan Martino (86),ABC Pall. Lomazzo,A/C,57,8,"7,13",
146,Tocalli Federico   (79),A.S. Dil. Morbegno,G,57,12,"4,75",
147,Perillo Andrea  (84),Centro Basket Pescate,G,57,13,"4,38",
148,Giorgetta Davide (93),BC Tirano, ,57,22,"2,59",
149,Ciarini Luca  (90),Rhinos Robbiate,A,56,18,"3,11",
150,Dal Molin Gregorio (97),Sportiva Sondrio,G,56,26,"2,15",
151,Giudes Fabio (83),BC Tirano,A,55,13,"4,23",
152,Piras Marco,ARS Rovagnate, ,54,24,"2,25",
153,Rebughini,Rhinos Robbiate, ,51,12,"4,25",
154,Vismara Marco  (83),S. Ambrogio Mariano,C,50,16,"3,13",
155,Riccioli Filippo (94),Pallacanestro Como,P,48,14,"3,43",
156,Rovelli Andrea (96),Pallacanestro Como,P,48,15,"3,20",
157,Sangalli Francesco (95),Virtus Meda,A,47,28,"1,68",
158,Rossi Stefano (85),ABC Pall. Lomazzo,P/G,46,14,"3,29",
159,Carenini Stefano (90),Pol. Mandello Lario,A/C,46,16,"2,88",
160,Attisani Ugo (89),BC Tirano,P,46,18,"2,56",
161,Barni Dario (93),Giardino LVS Basket Orsenigo,C,46,20,"2,30",
162,Molteni Mauro  (88),Polisportiva Senna,P/G,45,7,"6,43",
163,Mariani Massimo   (79),Casa Gioventù Erba,A,44,15,"2,93",
164,Mazzoleni Andrea(98),Virtus Meda,A,43,6,"7,17",
165,Auronzi Alessandro (94),ABC Pall. Lomazzo,A/C,41,24,"1,71",
166,Campeggi Giacomo   (91),Basket Tavernerio,C,40,3,"13,33",
167, Arosio A.,Pall. Figino, ,40,18,"2,22",
168,Cagliani Loris (94),ARS Rovagnate, ,40,27,"1,48",
169,Sala Marco (98),ARS Rovagnate, ,39,12,"3,25",
170,Galli Marco (88),Giardino LVS Basket Orsenigo,G,38,8,"4,75",
171,Zucchi Alan  (94),Pol. Mandello Lario,C,37,7,"5,29",
172,Molteni Giorgio   (88),Basket Tavernerio,G,36,5,"7,20",
173,Danelli Lorenzo,Rhinos Robbiate, ,36,22,"1,64",
174,Aralla,ARS Rovagnate, ,34,7,"4,86",
175,Ruggia Alessandro   (95),Polisportiva Senna,C,34,10,"3,40",
176,Pogliagi A.,Pol. Mandello Lario, ,34,11,"3,09",
177,Ripamonti Luca,Rhinos Robbiate, ,34,22,"1,55",
178,Bogani Stefano (85),ABC Pall. Lomazzo,A/C,33,10,"3,30",
179,Villa F.,Pallacanestro Como, ,33,13,"2,54",
180,Lacarbonara G.,Polisportiva Senna, ,32,6,"5,33",
181,Leone F.,Pallacanestro Como, ,32,15,"2,13",
182,Patriarca Stefano   (93),Sportiva Sondrio,G,31,25,"1,24",
183,Colzani L.,Polisportiva Senna, ,28,3,"9,33",
184,Felice Civitillo Matteo (93),Giardino LVS Basket Orsenigo,A,28,5,"5,60",
185,Marchetti Luca  (87),Sportiva Sondrio,C,27,23,"1,17",
186,Ciubotaru Artemie   (95),S. Ambrogio Mariano,C,26,21,"1,24",
187,Montanelli Stefano,ARS Rovagnate, ,25,21,"1,19",
188,Zorzan Jacopo  (89),Rhinos Robbiate,G,22,8,"2,75",
189,Brenna Gionata,Basket Tavernerio, ,22,16,"1,38",
190,Carenini Luca (93),Pol. Mandello Lario,A,22,16,"1,38",
191,Minotti Lorenzo (95),Pall. Figino,A/C,21,21,"1,00",
192,Fazio Nicola  (73),Pol. Mandello Lario,A,21,25,"0,84",
193,Orsi,Virtus Meda, ,20,2,"10,00",
194,Ronconi G. ,A.S. Dil. Morbegno, ,19,2,"9,50",
195,Caruso Riccardo (94),ABC Pall. Lomazzo,P/G,19,12,"1,58",
196,Colombo Alessandro (98),Casa Gioventù Erba, ,18,9,"2,00",
197,Tarabini Nicola   (96),A.S. Dil. Morbegno,A,17,18,"0,94",
198,Nourou Hamza (96),Pall. Figino,A/C,15,14,"1,07",
199,Cornago Marco  (94),A.S. Dil. Morbegno,G,15,18,"0,83",
200,Zucchi,Centro Basket Pescate, ,14,5,"2,80",
201,Cagliani Eric,ARS Rovagnate, ,14,13,"1,08",
202,Colzani,Sportiva Sondrio, ,14,23,"0,61",
203,Boghi Matteo (89),S. Ambrogio Mariano,C,13,6,"2,17",
204,Tosetti D.,Pallacanestro Como, ,13,7,"1,86",
205,Moscatelli S.,Pall. Figino, ,12,2,"6,00",
206,Melzi A.,Giardino LVS Basket Orsenigo, ,12,2,"6,00",
207,D'Apolito Andrea (98),Virtus Meda,A,12,5,"2,40",
208,Bernardi L.,Pall. Figino, ,11,2,"5,50",
209,Ceruti A.,Pallacanestro Como, ,11,4,"2,75",
210,Triulzi N.,Pallacanestro Como, ,11,6,"1,83",
211,Folini Luca (97),Sportiva Sondrio,C,11,9,"1,22",
212,Pizzo,Virtus Meda, ,10,2,"5,00",
213,Frigerio Marco (95),Casa Gioventù Erba, ,10,14,"0,71",
214,Marinoni Luca (96),Rhinos Robbiate,G/A,10,20,"0,50",
215,Triulzi C.,Pallacanestro Como, ,9,4,"2,25",
216,Nasatti Paolo (96),Centro Basket Pescate, ,9,4,"2,25",
217,Galli Daniele,Casa Gioventù Erba, ,9,5,"1,80",
218,Stefanelli,Sportiva Sondrio, ,8,3,"2,67",
219,Deandrea Christian,Basket Tavernerio, ,8,4,"2,00",
220,Colombo Giona  (87),S. Ambrogio Mariano,A,8,5,"1,60",
221,Molteni Matteo  (95),A.S. Dil. Morbegno,P,8,13,"0,62",
222,Meroni,Pall. Figino, ,7,3,"2,33",
223,Pavanetto Silvio (94),Pall. Figino, ,7,4,"1,75",
224,Goretti Fabio (95),Casa Gioventù Erba, ,7,7,"1,00",
225,Gnecchi Luca  (92),Centro Basket Pescate,A/C,7,9,"0,78",
226,Bianchi Davide,Basket Tavernerio, ,7,15,"0,47",
227,Civati,Centro Basket Pescate, ,6,1,"6,00",
228,Benedini,Virtus Meda, ,6,1,"6,00",
229,Meda,Virtus Meda, ,6,1,"6,00",
230,Fusato Joele,ARS Rovagnate, ,6,3,"2,00",
231,Munarini Ivan  (74),Sportiva Sondrio,P,6,4,"1,50",
232,Ranzoni M.,ARS Rovagnate, ,6,12,"0,50",
233,Riccioli R.,Pallacanestro Como, ,5,2,"2,50",
234,Colombo Stefano,ARS Rovagnate, ,5,3,"1,67",
235,Casati Carlo,Rhinos Robbiate, ,5,9,"0,56",
236,Vallini Mario (96),Centro Basket Pescate,G,5,12,"0,42",
237,Gerosa Mattia  (95),S. Ambrogio Mariano,A,5,12,"0,42",
238,Ferrari Daniel (89),BC Tirano,A,4,1,"4,00",
239,Rigamonti A.,Casa Gioventù Erba, ,4,1,"4,00",
240,Gottari,A.S. Dil. Morbegno, ,4,2,"2,00",
241,Romano,Casa Gioventù Erba, ,4,3,"1,33",
242,Quargnal M.,Polisportiva Senna, ,4,5,"0,80",
243,Marinoni A,Polisportiva Senna, ,4,5,"0,80",
244,Baruffaldi Mattia,BC Tirano, ,4,12,"0,33",
245,Russo,ARS Rovagnate, ,4,17,"0,24",
246,Albertini Leonardo,ARS Rovagnate, ,4,18,"0,22",
247,Della Francesca,Polisportiva Senna, ,3,1,"3,00",
248,Andolina,Virtus Meda, ,3,1,"3,00",
249,Braghetto,Virtus Meda, ,3,1,"3,00",
250,Mariani,Virtus Meda, ,3,2,"1,50",
251,Azzola Niccolò (96),Pallacanestro Como,A,3,2,"1,50",
252,Bertini,Sportiva Sondrio, ,3,2,"1,50",
253,Imperiali T.,Pallacanestro Como, ,3,2,"1,50",
254,Spinelli Pier (97),Rhinos Robbiate,G,3,8,"0,38",
255,Soli Alberto  (79),Polisportiva Senna,C,2,1,"2,00",
256,Figini Gabriele   (72),Polisportiva Senna,C,2,2,"1,00",
257,De Gaetano Samuele,ARS Rovagnate, ,2,2,"1,00",
258,Benvenuti,Sportiva Sondrio, ,2,2,"1,00",
259,Valsecchi D.,Casa Gioventù Erba, ,2,2,"1,00",
260,Castelnuovo,ARS Rovagnate, ,2,3,"0,67",
261,Mazzocchi,Pall. Figino, ,2,3,"0,67",
262,Antongini C.,Pallacanestro Como, ,2,3,"0,67",
263,Molteni A.,Polisportiva Senna, ,2,3,"0,67",
264,Canali,BC Tirano, ,2,4,"0,50",
265,Signore,Rhinos Robbiate, ,2,4,"0,50",
266,Volontè,ABC Pall. Lomazzo, ,2,6,"0,33",
267,Ferraioli,Pall. Figino, ,2,7,"0,29",
268,Orsi Giuseppe,Sportiva Sondrio, ,1,2,"0,50",
269,Moscatelli Andrea (94),Pall. Figino,P/G,1,6,"0,17",
"D  Lombardia Girone B classifica marcatori in base alla media punti - partite,  primi 20 marcatori",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Orsi,Virtus Meda, ,20,2,"10,00",
2,Meneghel Fabrizio (89),Rhinos Robbiate,P/G,438,24,"18,25",
3,Rusconi Nicola (79),Centro Basket Pescate,A/C,405,25,"16,20",
4,Mazzieri Andrea,ARS Rovagnate, ,401,25,"16,04",
5,Favero Pieralessandro   (82),A.S. Dil. Morbegno,A,428,27,"15,85",
6,Triulzi Federico   (86),Sportiva Sondrio,P/G,435,28,"15,54",
7,Gianola Stefano   (86),Sportiva Sondrio,G,306,20,"15,30",
8,Beretta Simone (93),Pallacanestro Como,A,83,6,"13,83",
9,Kaho Guy  (84),ARS Rovagnate,G/A,82,6,"13,67",
10,Pellizzoni Riccardo (96),Virtus Meda,G,382,28,"13,64",
11,Felizietti Matteo (87),ABC Pall. Lomazzo,A,341,25,"13,64",
12,Marchesi Daniele (92),BC Tirano,A,337,25,"13,48",
13,Campeggi Giacomo   (91),Basket Tavernerio,C,40,3,"13,33",
14,Feloj Stefano  (92),A.S. Dil. Morbegno,A,397,30,"13,23",
15,Gabba A.,Pallacanestro Como, ,142,11,"12,91",
16,Natta Domenico (96),BC Tirano,G,306,24,"12,75",
17,Pentchev Bogdan   (86),Sportiva Sondrio,C,331,28,"11,82",
18,Spiga Andrea  (90),Basket Tavernerio,G,106,9,"11,78",
19,Zonta Alessandro   (89),Polisportiva Senna,G,93,8,"11,63",
20,Fagetti Luca  (81),Pol. Mandello Lario,G,279,24,"11,63",
