"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
Nuova Pall. Vigevano
","
54
","
30
","
27
","
3
","
2294
","
1942
","
352
","
13
","
14
","
2
","
1
"
"
Pall. Lungavilla
","
52
","
30
","
26
","
4
","
2306
","
1866
","
440
","
14
","
12
","
1
","
3
"
"
N.Olympia Voghera
","
46
","
30
","
23
","
7
","
2317
","
1892
","
425
","
14
","
9
","
1
","
6
"
"
Aironi Pall. Robbio
","
44
","
30
","
22
","
8
","
2325
","
2144
","
181
","
13
","
9
","
2
","
6
"
"
AS Dil Lesmo 2004
","
40
","
30
","
20
","
10
","
2336
","
2181
","
155
","
12
","
8
","
3
","
7
"
"
Posal Sesto
","
36
","
30
","
18
","
12
","
2146
","
2039
","
107
","
11
","
7
","
4
","
8
"
"
Ebro Basket Milano
","
34
","
30
","
17
","
13
","
2026
","
2000
","
26
","
10
","
7
","
5
","
8
"
"
Libertas Cernusco
","
32
","
30
","
16
","
14
","
1913
","
1932
","
-19
","
8
","
8
","
7
","
7
"
"
Pall. Milano
","
30
","
30
","
15
","
15
","
2124
","
2112
","
12
","
9
","
6
","
6
","
9
"
"
Sant'Ambrogio Milano
","
20
","
30
","
10
","
20
","
1869
","
2091
","
-222
","
8
","
2
","
7
","
13
"
"
Basketown Milano
","
18
","
30
","
9
","
21
","
1823
","
1997
","
-174
","
6
","
3
","
9
","
12
"
"
Social Osa Milano
","
18
","
30
","
9
","
21
","
1941
","
2042
","
-101
","
7
","
2
","
8
","
13
"
"
Soul Basket Milano
","
18
","
30
","
9
","
21
","
1964
","
2150
","
-186
","
6
","
3
","
9
","
12
"
"
Virtus Gambolò
","
16
","
30
","
8
","
22
","
2024
","
2227
","
-203
","
6
","
2
","
9
","
13
"
"
Pall.S.Pio Milano
","
12
","
30
","
6
","
24
","
1925
","
2320
","
-395
","
4
","
2
","
11
","
13
"
"
CSC BK Cusano
","
10
","
30
","
5
","
25
","
1721
","
2119
","
-398
","
1
","
4
","
14
","
11
"
"
 
","
 
","
 
","
 
"
