SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Virtus Lumezzane,52,30,26,4,2288,1977,311,15,11,0,4
CMPi   Pizzighettone,52,30,26,4,2267,1820,447,14,12,1,3
G.S.A. Basket Sarezzo,42,30,21,9,2149,2030,119,12,9,3,6
Viadana Basket,38,30,19,11,2026,1886,140,11,8,4,7
Fortitudo Busnago,36,30,18,12,1856,1802,54,12,6,3,9
Sansebasket Cremona,34,30,17,13,2015,1964,51,10,7,5,8
Pall. Asola,34,30,17,13,2112,2060,52,10,7,5,8
Romano Lombardo BK,30,30,15,15,2084,2112,-28,10,5,5,10
Lic Verolanuova,30,30,15,15,2045,2107,-62,9,6,6,9
Seriana Alzano,26,30,13,17,2009,1975,34,8,5,7,10
XXL Bergamo Basket,26,30,13,17,2024,2096,-72,10,3,5,12
Bellini Gorle,24,30,12,18,1980,2070,-90,10,2,5,13
CSA Agrate Brianza,19,30,"9,5","20,5",1835,1972,-137,7,3,8,12
Blu Orobica Bergamo,18,30,9,21,2026,2216,-190,6,3,9,12
NBB Brescia,16,30,8,22,1903,2096,-193,6,2,9,13
Di.Po. Vimercate,2,30,1,29,1779,2215,-436,1,0,14,15
 , , , 
