"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
BK 7 Laghi Gazzada
","
44
","
28
","
22
","
6
","
2152
","
1944
","
208
","
12
","
10
","
2
","
4
"
"
Robur BK Saronno
","
42
","
28
","
21
","
7
","
2127
","
1938
","
189
","
10
","
11
","
4
","
3
"
"
Apl Lissone
","
38
","
28
","
19
","
9
","
2034
","
1875
","
159
","
9
","
10
","
5
","
4
"
"
Goodbook Manerbio
","
36
","
28
","
18
","
10
","
2095
","
2064
","
31
","
11
","
7
","
3
","
7
"
"
Argomm Iseo
","
34
","
28
","
17
","
11
","
2131
","
2009
","
122
","
9
","
8
","
5
","
6
"
"
ASD Milano Tre
","
34
","
28
","
17
","
11
","
1936
","
1844
","
92
","
12
","
5
","
2
","
9
"
"
Opera Basket Club
","
30
","
28
","
15
","
13
","
2025
","
2099
","
-74
","
8
","
7
","
6
","
7
"
"
Carpe Diem Calolziocorte
","
28
","
28
","
14
","
14
","
2157
","
2099
","
58
","
9
","
5
","
5
","
9
"
"
Pall. Bernareggio
","
26
","
28
","
13
","
15
","
2039
","
2015
","
24
","
5
","
8
","
9
","
6
"
"
Gsd Corona Platina
","
24
","
28
","
12
","
16
","
2041
","
2075
","
-34
","
6
","
6
","
8
","
8
"
"
Nuova Pall. Olginate
","
24
","
28
","
12
","
16
","
1924
","
1980
","
-56
","
8
","
4
","
6
","
10
"
"
Sport. Boffalorese
","
18
","
28
","
9
","
19
","
1843
","
2002
","
-159
","
5
","
4
","
9
","
10
"
"
Copert. Baj Arcisate
","
18
","
28
","
9
","
19
","
1981
","
2104
","
-123
","
6
","
3
","
8
","
11
"
"
USD Nervianese
","
16
","
28
","
8
","
20
","
1935
","
2131
","
-196
","
5
","
3
","
9
","
11
"
"
Team ABC Cantu
","
8
","
28
","
4
","
24
","
1869
","
2110
","
-241
","
3
","
1
","
11
","
13
"
"
 
","
 
","
 
","
 
"
