"C  Lombardia Girone B classifica marcatori in base ai punti segnati",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
172,Torti Andrea (86),A.Dil.Pall. Rag.S.Pio X,P,35,20,"1,75",
173,Benna Stefano (96),A.Dil.Pall. Rag.S.Pio X,A,34,18,"1,89",
174,Bozzini Luca  (94),Quartiere S. Ambrogio Milano,P,34,22,"1,55",
175,Di Prenda Matteo (95),A.Dil.Pall. Rag.S.Pio X, ,32,11,"2,91",
176,Longoni Andrea (94),Soul Milano,G/A,32,13,"2,46",
177,Alesse Andrea (83),Pall. Milano 1958,G,30,8,"3,75",
178,Famurewa Steven (95),Nuova Olympia Basket Voghera,G,30,23,"1,30",
179,Aversa,Quartiere S. Ambrogio Milano, ,29,8,"3,63",
180,Botto Tommaso (97),A.S.D. Basketown Milano,A,29,15,"1,93",
181,Balicco Mattia  (91),C.S.C. BK Cusano,G,29,16,"1,81",
182,Petracin Andrea (95),Pall. Robbio Aironi,G,29,21,"1,38",
183,Pasquali Marco (91),Soul Milano,C,28,14,"2,00",
184,Marinelli Matteo (84),Pall. Milano 1958,C,26,3,"8,67",
185,Boriani Alessandro (97),C.S.C. BK Cusano,P,26,14,"1,86",
186,Ottone Paolo (96),Pall. Milano 1958,P,25,29,"0,86",
187,Bocca Andrea,Nuova Pall. Vigevano 1955, ,24,13,"1,85",
188,Zuccon P.,Quartiere S. Ambrogio Milano, ,21,6,"3,50",
189,Casiraghi Tommaso,C.S.C. BK Cusano, ,20,7,"2,86",
190,Conversano Davide (94),Pall. Milano 1958,G/A,20,11,"1,82",
191,Scanziani Matteo (96),Soul Milano,G,19,10,"1,90",
192,Peloso Alessandro (95),Ebro Basket,A,19,19,"1,00",
193,Bigi Mattia (97),C.S.C. BK Cusano,A,17,4,"4,25",
194,Deluca Davide (88),A.S. Dil. Lesmo,A,15,13,"1,15",
195,Minorini,Ebro Basket, ,15,15,"1,00",
196,Orsenigo Luca (96),Nuova Pall. Vigevano 1955,G,15,21,"0,71",
197,Maga Gianluca,ASD Pall. Lungavilla, ,14,12,"1,17",
198,Zucca Gianluca (96),Nuova Pall. Vigevano 1955,A,14,13,"1,08",
199,Cazzaniga Tommaso (97),C.S.C. BK Cusano,G,13,11,"1,18",
200,"Colombo Giorgio   (92)",A.S. Dil. Lesmo,A,13,14,"0,93",
201,Cucchetti,Virtus Gambolò, ,12,8,"1,50",
202,Cislaghi Marco (90),Pall. Robbio Aironi,G,12,13,"0,92",
203,Miotto Gianluca (95),Quartiere S. Ambrogio Milano,G,11,5,"2,20",
204,Andreossi Davide (94),Virtus Gambolò,G/A,11,9,"1,22",
205,Valentini,Quartiere S. Ambrogio Milano, ,10,4,"2,50",
206,Valota Raffaele (97),C.S.C. BK Cusano,A,10,7,"1,43",
207,"Ripamonti Fabio   (93)",A.S.D. Basketown Milano,A/C,10,8,"1,25",
208,Piccio Christian (97),Virtus Gambolò,G/A,10,8,"1,25",
209,"Clemente Andrea   (95)",P.O.S.A.L. Sesto S.G.,G/A,10,10,"1,00",
210,Fabiani Tommaso (95),P.O.S.A.L. Sesto S.G.,P,10,19,"0,53",
211,Buongiorno Andrea (94),Pall. Milano 1958,P/G,10,20,"0,50",
212,Ghezzi Matteo (97),C.S.C. BK Cusano,P/G,9,8,"1,13",
213,Ferraro Aledssandro (96),A.Dil.Pall. Rag.S.Pio X,A,9,11,"0,82",
214,Vercesi,ASD Pall. Lungavilla, ,8,4,"2,00",
215,Benoliel Lucas  (94),Pall. Milano 1958,A,8,14,"0,57",
216,Maga Lorenzo (89),P.O.S.A.L. Sesto S.G.,G,7,5,"1,40",
217,Anton Andrei (97),C.S.C. BK Cusano, ,6,4,"1,50",
218,Minardi Luca (95),A.S.D. Basketown Milano,A/C,6,6,"1,00",
219,Ferrari Angelo (97),Virtus Gambolò,P,6,7,"0,86",
220,"Pellin Fabrizio   (94)",P.O.S.A.L. Sesto S.G.,C,6,8,"0,75",
221,Fornaciari,Quartiere S. Ambrogio Milano, ,5,1,"5,00",
222,Ghilardi,A.S.D. Basketown Milano, ,5,1,"5,00",
223,De Natale,Pall. Milano 1958, ,5,2,"2,50",
224,Caretta,Social O.S.A. Milano, ,5,4,"1,25",
225,Viscusi Christian (98),A.S. Dil. Lesmo,P/G,5,5,"1,00",
226,Tisato Alberto (95),ASD Pall. Lungavilla,P,5,14,"0,36",
227,Vercelli Marco (83),ASD Pall. Lungavilla,A,5,15,"0,33",
228,Monzani Claudio (97),Ebro Basket,P,5,16,"0,31",
229,Catania Paolo (93),Soul Milano,P,4,3,"1,33",
230,De Santis Nicolò (94),A.Dil.Pall. Rag.S.Pio X,C,4,4,"1,00",
231,Gaglioti F.,A.S.D. Basketown Milano, ,4,4,"1,00",
232,Soldati,Pall. Milano 1958, ,3,3,"1,00",
233,Grandi Stefano (97),C.S.C. BK Cusano,A,3,4,"0,75",
234,Diop,Quartiere S. Ambrogio Milano, ,3,4,"0,75",
235,Marchese Alberto (97),Nuova Pall. Vigevano 1955,G/A,3,9,"0,33",
236,Turini Alberto (96),Nuova Olympia Basket Voghera,G,3,12,"0,25",
237,Terzi,Libertas Cernusco, ,2,1,"2,00",
238,Mejri,Quartiere S. Ambrogio Milano, ,2,1,"2,00",
239,Cao Kevin (98),A.Dil.Pall. Rag.S.Pio X,G,2,2,"1,00",
240,Bega,Social O.S.A. Milano, ,2,2,"1,00",
