"
SQUADRA
","
P
","
P.G.
","
V
","
P
","
P.S.
","
P.Sub.
","
D.P.
","
V Casa
","
V Fuori
","
P Casa
","
P Fuori
"
"
Pall. Castronno
","
48
","
28
","
24
","
4
","
2072
","
1782
","
290
","
13
","
11
","
1
","
3
"
"
Nelson Somma Lombardo
","
46
","
28
","
23
","
5
","
2017
","
1769
","
248
","
12
","
11
","
2
","
3
"
"
Pol. Daverio
","
42
","
28
","
21
","
7
","
1933
","
1633
","
300
","
12
","
9
","
2
","
5
"
"
BK School Corbetta
","
40
","
28
","
20
","
8
","
2133
","
1783
","
350
","
11
","
9
","
3
","
5
"
"
Virtus Olona
","
40
","
28
","
20
","
8
","
1917
","
1739
","
178
","
13
","
7
","
1
","
7
"
"
Orma Malnate
","
34
","
28
","
17
","
11
","
1851
","
1653
","
198
","
10
","
7
","
4
","
7
"
"
Basket Legnano 91
","
28
","
28
","
14
","
14
","
1748
","
1814
","
-66
","
8
","
6
","
6
","
8
"
"
US Marnatese BK
","
26
","
28
","
13
","
15
","
1801
","
1782
","
19
","
7
","
6
","
7
","
8
"
"
Ardens Sedriano
","
24
","
28
","
12
","
16
","
1735
","
1880
","
-145
","
6
","
6
","
8
","
8
"
"
Baskettiamo Vittuone
","
24
","
28
","
12
","
16
","
1742
","
1788
","
-46
","
7
","
5
","
7
","
9
"
"
Campus Varese
","
18
","
28
","
9
","
19
","
1768
","
1920
","
-152
","
4
","
5
","
10
","
9
"
"
BC Arlunese
","
16
","
28
","
8
","
20
","
1930
","
2165
","
-235
","
4
","
4
","
10
","
10
"
"
ASD Montello
","
16
","
28
","
8
","
20
","
1678
","
1925
","
-247
","
5
","
3
","
9
","
11
"
"
Pall. Busto Arsizio
","
10
","
28
","
5
","
23
","
1736
","
2131
","
-395
","
1
","
4
","
13
","
10
"
"
Basket Venegono
","
8
","
28
","
4
","
24
","
1843
","
2140
","
-297
","
3
","
1
","
11
","
13
"
"
 
","
 
","
 
","
 
"
